recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
NORTHROP GRUMMAN SYSTEMS CORPORATION,2004,CA-44,3299938.0
"GLEASON, BOB",2004,,9360.0
ITT FLUID TECHNOLOGY CORP,2004,CA-27,7544.0
APPLIED BIOSYSTEMS,2004,CA-15,5596.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2004,CA-32,248714.0
SCIGENE CORPORATION,2004,CA-17,5495.0
"XOSOFT, INC",2004,CA-17,34200.0
SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION,2004,CA-45,6050.0
AEROJET-GENERAL CORPORATION,2004,CA-90,117500.0
UNIQUE TECHNOLOGIES,2004,CA-50,10880.0
STERLING COMPUTERS CORPORATION,2004,,30600.0
BIOSOURCE INTERNATIONAL INC,2004,CA-26,20408.0
ALTEX TECHNOLOGIES CORPORATION,2004,CA-17,70000.0
TRIM-LOK INC,2004,CA-45,5772.0
TRIM-LOK INC,2004,CA-45,4992.0
CPD INDUSTRIES,2004,CA-35,8232.0
ALAMEDA COUNTY SHERIFF'S OFFICE,2004,CA-12,3798.0
ROCKER SOLENOID CO,2004,CA-90,239590.0
"CONNECTEC COMPANY, INC.",2004,CA-47,0.0
"MANTECH SRS TECHNOLOGIES, INC.",2004,CA-47,3600.0
"3D SYSTEMS, INC.",2004,CA-27,168453.0
PSEMI CORP,2004,CA-90,203558.0
MULTIGEN-PARADIGM INC,2004,CA-90,8950.0
TOYON RESEARCH CORPORATION,2004,CA-24,40000.0
"ETHICON, INC",2004,CA-47,2730.0
EPITOMICS INC,2004,CA-15,69916.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2004,CA-90,20654.0
AMERICAN DELPHI INC,2004,CA-45,23655.0
HART RESTORATION INC,2004,CA-09,3069.0
VORTEX INDUSTRIES LLC,2004,CA-47,20616.0
"DELTA WIRELESS, INC.",2004,CA-90,5243.0
CONNIE TWIGG,2004,CA-23,4473.0
"FEDERAL PRISON INDUSTRIES, INC",2004,CA-24,0.0
STRONGHOLD ENGINEERING INC,2004,CA-39,-56129.0
"ZYMAX ENVIROTECHNOLOGY, INC",2004,,-5245.0
KED CONSTRUCTION,2004,CA-90,68033.0
UNITED PARADYNE CORP,2004,CA-24,111000.0
"ARA, INC",2004,CA-31,623.0
DEL-JEN INTERNATIONAL CORPORAT,2004,,165000.0
"ORBITAL NETWORK ENGINEERING, INC.",2004,CA-17,43950.0
TECHNICAL RESEARCH ASSOCIATES INC,2004,CA-50,350000.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2004,CA-17,2659100.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2004,CA-17,4443578.0
"MOBILE STORAGE GROUP, INC.",2004,CA-30,4060.0
H. G. SMITH LUMBER CO.,2004,CA-90,11950.0
"SUPERIOR READY MIX CONCRETE, L.P.",2004,CA-90,35000.0
"CURTIS & TOMPKINS, LTD.",2004,CA-12,-1699.0
"NETAPP, INC.",2004,CA-17,0.0
"TRANSPARENT DEVICES, INC",2004,CA-26,6905.0
"LANGUAGE LINE, LLC",2004,CA-90,2501.0
PRIDE INDUSTRIES,2004,CA-03,87512.0
THE BOEING COMPANY,2004,CA-46,712049.0
"RAINBOW - BRITE INDUSTRIAL SERVICES, LLC",2004,CA-20,-80300.0
THE BOEING COMPANY,2004,CA-46,1958394.0
THE BOEING COMPANY,2004,,10000000.0
"MANTECH SRS TECHNOLOGIES, INC.",2004,CA-47,22664.0
UNITED PARADYNE CORP,2004,CA-24,32074.0
"LEIDOS, INC.",2004,CA-90,1318446.0
PHYSICAL OPTICS CORPORATION,2004,CA-90,130360.0
"FLEXCO, INC",2004,CA-42,27619.0
"LEIDOS, INC.",2004,CA-90,1035000.0
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,2004,CA-46,9401841.0
"DRS SENSORS & TARGETING SYSTEMS, INC.",2004,CA-46,332919.0
"LEIDOS, INC.",2004,CA-90,-4342.0
"AEROVIRONMENT, INC.",2004,CA-31,348957.0
BILTWELL DEVELOPMENT CO.,2004,CA-90,-5866.0
GILBANE FEDERAL,2004,CA-10,0.0
"BECKMAN COULTER, INC",2004,CA-39,0.0
"VANGUARD COMPOSITES GROUP, INC.",2004,CA-90,375000.0
"HOLMES & NARVER, INC.",2004,CA-90,5126001.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2004,CA-36,1371886.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2004,CA-36,1250525.0
DIAL SOUND DATA SYSTEMS INC,2004,CA-90,8785.0
K & K RENTALS,2004,CA-01,17000.0
LOCKHEED MARTIN CORPORATION,2004,CA-24,-226460.0
LOCKHEED MARTIN CORPORATION,2004,CA-17,370187.0
GILBANE FEDERAL,2004,CA-10,0.0
FISCHER CUSTOM COMMUNICATIONS INC,2004,CA-90,30000.0
STERLING COMPUTERS CORPORATION,2004,,3916.0
THE GATE MUSIC SERVICES INCORPORATED,2004,CA-10,46733.0
GILBANE FEDERAL,2004,CA-10,0.0
"RIDDLE, RICHARD STEVEN",2004,CA-39,45000.0
"CIRRUS ENTERPRISES, LLC",2004,CA-37,400.0
"GREAT SPRING WATERS OF AMERICA, INC",2004,CA-90,2992.0
CELERITEK INC,2004,CA-17,148500.0
"TWACOMM.COM, INC.",2004,CA-47,4089.0
PHYSICAL OPTICS CORPORATION,2004,CA-90,749979.0
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",2004,CA-90,26500.0
THE BOEING COMPANY,2004,CA-90,261242.0
"BRIDGEPOINT HOLDINGS, INC.",2004,CA-90,15000.0
"NUVASIVE, INC",2004,CA-90,195.0
"CHARTONE, INC.",2004,CA-90,5000.0
ADVANCED ARM DYNAMICS GROUP INC,2004,CA-36,429848.0
"BECKMAN COULTER, INC",2004,CA-90,21613.0
"ROCKWELL COLLINS ELECTROMECHANICAL SYSTEMS, INC",2004,CA-47,71275.0
"LEIDOS, INC.",2004,CA-50,0.0
