recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"AEROVIRONMENT, INC.",2009,CA-31,863591.88
NORTHROP GRUMMAN SYSTEMS CORPORATION,2009,CA-44,2893340.0
GRISWOLD INDUSTRIES,2009,CA-47,5950.0
"MARVIN TEST SOLUTIONS, INC.",2009,CA-47,119400.0
WESCO AIRCRAFT HARDWARE CORP.,2009,CA-27,4050.0
NAVIGATION AIDS,2009,CA-45,11955.0
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,2009,CA-46,0.0
B & H INTERNATIONAL,2009,CA-90,5320.0
XCELERATED TRANSPORTATION GROUP LLC,2009,CA-14,0.0
GBL SYSTEMS CORPORATION,2009,CA-26,0.0
"TERRA UNIVERSAL, INC.",2009,CA-90,602.72
DYNAMIC INSTRUMENTS INCORPORATED,2009,CA-51,27918.0
"COSMODYNE, LLC",2009,CA-47,99900.0
"AGRICULTURE AND PRIORITY POLLUTANTS LABORATORIES, LLC",2009,CA-90,6749.5
STELLANT SYSTEMS INC,2009,CA-03,430500.0
"DAKO NORTH AMERICA, INC.",2009,CA-24,0.0
PHYSICAL OPTICS CORPORATION,2009,CA-90,49989.64
FXC CORPORATION,2009,CA-46,39150.0
"PALOMAR PRODUCTS, INC.",2009,CA-40,97899.0
"LIEU, LISA",2009,CA-90,-19815.4
ELECTRO ADAPTER INC,2009,CA-32,681.72
BNC CORP.,2009,CA-02,9814.0
"ASTRA SPACE OPERATIONS, LLC",2009,CA-11,98584.0
AL,2009,CA-50,3417.0
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,2009,CA-36,39500.0
MO ENTERPRISES,2009,CA-20,4750.0
"SAJJAD, ZAINAB S.",2009,CA-90,-3591.04
"HDR ENGINEERING, INC.",2009,CA-90,0.0
COUNTY OF FRESNO CALIFORNIA,2009,CA-21,52768.38
"T.J. FIG, INC.",2009,CA-09,32130.0
"ALPINE DIVERSIFIED, INC.",2009,CA-20,0.0
"J.L. CONTRACTING & SERVICE, INC.",2009,CA-90,91287.0
QUINTESSENCE PHOTONICS CORPORATION,2009,CA-29,599722.91
U FLEET LLC,2009,CA-90,0.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2009,CA-17,0.0
"IDEXX REFERENCE LABORATORIES, INC.",2009,CA-07,3698.0
"RESOURCE MANAGEMENT ASSOCIATES, INC.",2009,CA-08,0.0
WEBCO,2009,CA-24,0.0
"CAPERS SERVICES, INC",2009,CA-04,48590.84
WOODWARD HRT INC,2009,CA-27,0.0
"BROOKSTONE EMERGENCY SERVICES, INC.",2009,CA-48,2500.0
SEAN TRUCK AND REEFER RENTAL INC.,2009,CA-23,0.0
"COORDINATED WIRE ROPE OF VENTURA, INC.",2009,CA-24,13840.0
"BAY SYSTEMS CONSULTING, INC",2009,CA-12,293908.05
"ABC EQUIPMENT RENTAL, LLC",2009,CA-36,0.0
"ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES, LLC",2009,CA-44,67725.0
"PACIFIC MOBILE STRUCTURES, INC.",2009,CA-39,6242.2
BJD RESOURCING LLC,2009,CA-33,44850.0
ENTERPRISE RENT-A-CAR COMPANY,2009,CA-23,12210.0
"EXCLUSIVE TENT RENTALS, INC",2009,CA-31,17463.65
PTS RENTALS INC.,2009,CA-90,1368.83
"USA WASTE OF CALIFORNIA, INC.",2009,CA-18,534226.11
LN CURTIS & SONS,2009,CA-12,11475.4
"CARLIN MANUFACTURING, INC.",2009,CA-90,-21000.0
PRIDE INDUSTRIES,2009,CA-03,4838260.34
EN POINTE GOV INC,2009,CA-44,23409.0
WEBCO,2009,CA-24,38489.12
"FISICA APPLIED TECHNOLOGIES, INC.",2009,CA-90,545356.0
"TONY VACCA CONSTRUCTION, INC",2009,CA-24,181277.0
SKANSKA USA CIVIL WEST CALIFORNIA DISTRICT INC.,2009,CA-39,0.0
ACCURATE SCALE CO INC,2009,CA-39,0.0
"ADVANCED COPY SYSTEMS, INC",2009,CA-33,8802.0
"SEAIR TRANSPORT SERVICES, INC.",2009,CA-90,0.0
"HARPER CONSTRUCTION COMPANY, INC.",2009,CA-90,0.0
MW- ALL STAR JOINT VENTURE,2009,CA-48,0.0
QUALCOMM INCORPORATED,2009,CA-90,-1599.1
"TECHNICAL COMMUNITIES, INC.",2009,CA-15,25135.0
"SAJJAD, ZAINAB S.",2009,CA-45,6524.0
"BLACKSTONE CONSULTING, INC",2009,CA-90,0.0
PHYSICAL OPTICS CORPORATION,2009,CA-43,378580.0
"A.J. CONTRACTORS' SUPPLY, INC.",2009,CA-19,19584.0
"BROOKSTONE EMERGENCY SERVICES, INC.",2009,CA-48,2967.0
"A. T. PARKER, INC.",2009,CA-29,5635.0
LOCKHEED MISSILES & SPACE COMP,2009,CA-17,358654.0
NLD,2009,CA-52,9750.0
THE BOEING COMPANY,2009,CA-44,185185.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2009,CA-32,0.0
"SAJJAD, ZAINAB S.",2009,CA-90,0.0
"NI INDUSTRIES, INC.",2009,CA-05,0.0
GRANITE CONSTRUCTION COMPANY,2009,CA-90,0.0
COMBAT SUPPORT ASSOCIATES,2009,CA-90,0.0
APPLE INC,2009,CA-17,28507.5
"ORBIT COMMUNICATION SYSTEMS, INC.",2009,CA-31,1961.94
NORTHROP GRUMMAN SYSTEMS CORPORATION,2009,CA-36,133885.0
SUNNY PRECISION OPTICS INC,2009,CA-17,94990.0
BOSS INNOVATION & MARKETING INC,2009,CA-40,0.0
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",2009,CA-28,13170.6
OILFIELD ELECTRIC COMPANY,2009,CA-24,-159.73
FCI CONSTRUCTORS INCORPORATED (3347),2009,CA-08,1775300.0
"TECHNICAL COMMUNITIES, INC.",2009,CA-15,11117.0
AEROPLATE CORP.,2009,CA-90,8207.7
ENTERPRISE RENT-A-CAR COMPANY,2009,CA-23,1755.0
"EXCLUSIVE TENT RENTALS, INC",2009,CA-31,0.0
JOHN GALLUP & ASSOCIATES LLC,2009,CA-50,0.0
AEROVAC LLC,2009,CA-38,0.0
"AAA RESTAURANT FIRE CONTROL, LLC",2009,CA-14,0.0
COAST LM,2009,CA-04,11411.0
PHA - JMR JV,2009,CA-03,699913.0
ARGO-TECH CORPORATION COSTA MESA,2009,CA-47,0.0
EIGHTH AVENUE ENTERPRISE,2009,CA-90,0.0
"THE WRITE CONNECTION, INC",2009,CA-26,10945.0
"COMPUTERS AND STRUCTURES, INC.",2009,CA-12,16983.34
AMRON INTERNATIONAL INC,2009,CA-49,9937.8
ASPEN HELICOPTERS INC,2009,CA-26,13835.26
"THERMAL STRUCTURES, INC",2009,CA-90,200.0
"STRAUB CONSTRUCTION, INC.",2009,CA-48,89495.0
"C J W CONSTRUCTION, INC.",2009,CA-46,0.0
