recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
SAN DIEGO SEAL INC,2025,CA-51,0.0
"WESTFLEX, INC.",2025,CA-52,34876.58
B & H INTERNATIONAL LLC,2025,CA-20,7797.93
ADVANCED STERILIZATION PRODUCTS SERVICES INC.,2025,CA-47,34300.0
"PNEUDRAULICS, INC.",2025,CA-35,22102.0
"HYDRAULICS INTERNATIONAL, INC.",2025,CA-32,6730.74
"JOB OPTIONS, INCORPORATED",2025,CA-51,-12281.14
TOYON RESEARCH CORPORATION,2025,CA-24,250000.0
STARNAV LLC,2025,CA-39,1999905.67
"SHIMMICK CONSTRUCTION COMPANY, INC.",2025,CA-47,0.0
"SYNOPSYS, INC.",2025,CA-16,0.0
"ORANGE COUNTY COUNCIL, BOY SCOUTS OF AMERICA",2025,CA-40,50377.3
MALONEY-ODIN A JOINT VENTURE,2025,CA-02,234017.17
CAMENZIND DUTRA JV LLC,2025,CA-16,28748.78
PPT GROUP CORP,2025,CA-19,0.0
"LIN-ZHI INTERNATIONAL, INC.",2025,CA-17,26137.68
"PACIFIC ENGINEERING AND CONSULTING, INC.",2025,CA-21,8430.0
PARSONS GOVERNMENT SERVICES INC.,2025,CA-28,378539.01
AMERICAN CLASSIC CONSTRUCTION INC.,2025,CA-32,-10372.96
"NEXTGEN AERONAUTICS, INC.",2025,CA-36,520685.7
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,2025,CA-46,0.0
B & H INTERNATIONAL LLC,2025,CA-20,27027.63
TRFC ENTERPRISES LLC,2025,CA-31,38700.0
EPISYS SCIENCE INC,2025,CA-48,0.0
INTELLIGENT FIBER OPTIC SYSTEMS CORPORATION,2025,CA-17,1799967.28
MCGRATH RENTCORP,2025,CA-14,18720.0
SPACE EXPLORATION TECHNOLOGIES CORP.,2025,CA-43,0.0
"NORTH BAY REHABILITATION SERVICES, INC.",2025,CA-04,45131.36
LIFT AIRBORNE TECHNOLOGIES LLC,2025,CA-44,191800.0
"DE LA FUENTE CONSTRUCTION, INC.",2025,CA-52,42226.0
"HQE SYSTEMS, INC.",2025,CA-48,0.0
THE DUTRA GROUP,2025,CA-02,0.0
"ANCHOR PACIFIC RESOURCE MANAGEMENT, INC",2025,CA-26,58773.0
"AECOM TECHNICAL SERVICES, INC.",2025,CA-34,0.0
"THE ALDRIN FAMILY FOUNDATION, INC.",2025,CA-32,322530.0
"COX CALIFORNIA TELCOM, L.L.C",2025,CA-40,15512.0
FORGEN-ODIN JV,2025,CA-03,-11890.91
MERCURY MISSION SYSTEMS LLC,2025,CA-43,0.0
"ENGENSE, INC.",2025,CA-26,0.0
HYDRO-AIRE AEROSPACE CORP,2025,CA-30,0.0
INTELLISENSE SYSTEMS INC,2025,CA-43,0.0
GREATER CENTRAL COAST OFFICIALS ASSOCIATION,2025,CA-24,49800.0
"KEY CODE MEDIA, INC.",2025,CA-30,50695.4
"PHOTO-SONICS, INC.",2025,CA-32,-2500.0
MISSION LINEN SUPPLY,2025,CA-07,17345.76
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,2025,CA-50,0.0
"INNOVATIVE FEDERAL OPERATIONS GROUP, INCORPORATED",2025,CA-49,240439.68
CEPHEID,2025,CA-17,0.0
AMADA AMERICA INC.,2025,CA-45,6500.0
LOCKHEED MARTIN CORPORATION,2025,CA-27,0.0
GRAYMATTER ROBOTICS INC.,2025,CA-44,74640.0
"DIVERGENT INDUSTRIES, INC.",2025,CA-44,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2025,CA-50,0.0
AKON INCORPORATED,2025,CA-17,113742.44
NORTHROP GRUMMAN SYSTEMS CORPORATION,2025,CA-50,0.0
"UTOPIACOMPRESSION,CORPORATION",2025,CA-36,0.0
"PERSONAL STRENGTHS PUBLISHING, LLC",2025,CA-49,0.0
EXCELLENCE PROFESSIONAL CLEANING INC,2025,CA-52,49020.0
