recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"WK ENGINEERING INTERNATIONAL, INC.",2013,CA-27,0.0
"LIFT-IT MANUFACTURING CO., INC.",2013,CA-42,3345.0
J - T E C H,2013,CA-43,3510.0
KROBACH MFG. CORP.,2013,CA-14,0.0
"CHEMNAVIGATOR.COM, LLC",2013,CA-90,-0.04
"BECHTEL NATIONAL, INC.",2013,CA-11,0.0
CGTECH,2013,CA-47,4290.0
BIO RAD LABORATORIES INC,2013,CA-08,399918.0
RAPISCAN SYSTEMS INC,2013,CA-90,55279.05
EATON AEROSPACE LLC,2013,CA-30,19862.0
SEROLOGICAL RESEARCH INSTITUTE,2013,CA-08,0.0
COSMED USA INC,2013,CA-10,61874.0
VALIANT GLOBAL DEFENSE SERVICES INC,2013,CA-50,7299674.0
"HARTZELL INDUSTRIAL SERVICES, INC.",2013,CA-45,9600.0
"ARCTOS TECHNOLOGY SOLUTIONS, LLC",2013,CA-90,0.0
BOSTON SCIENTIFIC NEUROMODULATION CORP,2013,CA-29,0.0
TRELLISWARE TECHNOLOGIES INC,2013,CA-90,-192454.0
RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,2013,CA-90,408932.0
"ADVANCED ROTORCRAFT TECHNOLOGY, INC.",2013,CA-17,364983.84
DJO LLC,2013,CA-49,-1.0
"FEDCORP SERVICES, INC.",2013,CA-08,0.0
PHYSICAL OPTICS CORPORATION,2013,CA-90,0.0
LYNNLUX LOGISTICS LLC,2013,CA-07,-15316.58
"CONTINENTAL FORGE COMPANY, LLC",2013,CA-43,149902.0
INLAND EMPIRE STAGES LIMITED,2013,CA-35,2600.0
"YERBA BUENA ENGINEERING & CONSTRUCTION, INC.",2013,CA-11,-7946.0
"DYNAMIK, INC.",2013,CA-90,9000.0
"S Y G C, CORP.",2013,CA-32,27813.96
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",2013,CA-48,1331847.19
"XLD GROUP, LLC",2013,CA-90,-4593.32
"PINNACLE HOLDINGS GROUP, INC.",2013,CA-46,0.0
"SHAH, RUPAL",2013,CA-31,6497.0
WENDI DEVOTO,2013,CA-13,44712.0
FENTON JOSEPH,2013,CA-28,0.0
"NLESYSTEMS, INC.",2013,CA-30,11225.69
"THRILLWORKS, INC.",2013,CA-03,6161.24
"YOCKE, MARK",2013,CA-02,0.0
COMMANDER,2013,CA-90,669.87
"PAYDARFAR INDUSTRIES, INC.",2013,CA-49,37073.88
DIONEX CORPORATION,2013,CA-17,3335.0
SHANKS ELECTRIC CORPORATION,2013,CA-23,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-31,0.0
"SURVEILLANCE SYSTEMS INTEGRATION, LLC",2013,CA-03,8137.0
SRI INTERNATIONAL,2013,CA-90,0.0
NEWPOINT MANAGEMENT LLC,2013,CA-90,3210.38
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",2013,CA-90,0.0
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,2013,CA-46,411897.0
MANAGED RESOURCES INC,2013,CA-90,-10000.0
KJL-LETTS DESIGN INC,2013,CA-51,0.0
WEBB & ASSOCIATES INC,2013,CA-10,0.0
"HITACHI HIGH TECHNOLOGIES AMERICA, INC.",2013,CA-14,6330.0
ON-SITE STORAGE SOLUTIONS,2013,CA-48,6650.0
INTEROPERABLE SYSTEMS GROUP LLC,2013,CA-90,94137.0
SCITON INC,2013,CA-90,22605.25
"CUMMINS PACIFIC, LLC",2013,CA-07,5056.23
"CUMMINS PACIFIC, LLC",2013,CA-07,2870.91
AERIAL LIFT SERVICE COMPANY INC,2013,CA-07,-4192.26
NEWPOINT MANAGEMENT LLC,2013,CA-90,208.0
ESCARCEGA TECHNOLOGY SERVICES,2013,CA-47,0.0
INTELLIGENT INTERNATIONAL INC.,2013,CA-90,0.0
MSC.SOFTWARE CORPORATION,2013,CA-46,5500.0
"NEW TECH SOLUTIONS, INC.",2013,CA-90,0.0
"ON-SITE DENTAL CARE, INC.",2013,CA-15,0.0
CADENCE DESIGN SYSTEMS INC,2013,CA-90,7163.0
ROMERO GENERAL CONSTRUCTION CORP.,2013,CA-48,0.0
"INTEGRATED DATA SERVICES, LLC",2013,CA-36,133267.2
MOFFATT AND NICHOL,2013,CA-10,0.0
"MEGGITT SAFETY SYSTEMS, INC.",2013,CA-31,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-50,986384.0
"LM2 CONSTRUCTION CO., INC.",2013,CA-46,16874.0
MARKO CONSTRUCTION GROUP INC,2013,CA-21,764051.4
"MRO WAREHOUSE, INC.",2013,CA-51,7246.26
"ASTRO-TEK INDUSTRIES, LLC",2013,CA-46,23850.0
"BECKMAN COULTER, INC",2013,CA-40,0.0
WINAIR INSTRUMENT INC,2013,CA-26,2220.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2013,CA-26,300000.0
"REALIZATION TECHNOLOGIES, INC.",2013,CA-18,0.0
"POMMIER, K W & ASSOCIATES, INC",2013,CA-49,75992.66
ROCKWELL COLLINS INC,2013,CA-08,0.0
ECLYPSE INTERNATIONAL CORPORATION,2013,CA-41,1862322.0
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),2013,CA-18,0.0
"HRL LABORATORIES, LLC",2013,CA-32,0.0
THE RAND CORPORATION,2013,CA-36,4000000.0
"CONNECTEC COMPANY, INC.",2013,CA-47,0.0
RAYTHEON COMPANY,2013,CA-24,0.0
"ALL BUSINESS MACHINES, INC.",2013,CA-07,103062.59
NORITSU AMERICA CORPORATION,2013,CA-45,4248.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-32,-88426.0
CA DEPT OF REHABILITATION,2013,CA-06,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",2013,CA-90,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-32,-15630.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-32,2415088.0
"JAV, INC.",2013,CA-24,32116.0
VIASAT INC,2013,CA-49,-8000.0
SRI INTERNATIONAL,2013,CA-90,2723242.0
"LAVI INDUSTRIES, LLC",2013,CA-27,4280.0
"IMPRES TECHNOLOGY SOLUTIONS, INC",2013,CA-38,1550165.51
"IMPRES TECHNOLOGY SOLUTIONS, INC",2013,CA-38,20887.3
"HEART RATE, INC.",2013,CA-47,18012.85
LAKESHORE EQUIPMENT COMPANY,2013,CA-44,-39.66
"SPECTROLAB, INC.",2013,CA-29,55000.0
PENICK NORDIC JV,2013,CA-90,0.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2013,CA-26,0.0
THE AEROSPACE CORPORATION,2013,CA-36,-7612360.0
EN POINTE GOV INC,2013,CA-43,52259.4
PALANTIR TECHNOLOGIES INC.,2013,CA-16,394418.45
"TELEDYNE FLIR EOC, LLC",2013,CA-24,0.0
"CANON U.S.A., INC.",2013,CA-47,8500.23
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",2013,CA-17,10000.0
EMC CORPORATION,2013,CA-17,0.0
MBDA INCORPORATED,2013,CA-26,100000.0
FLUOROCHEM INC,2013,CA-31,14029.73
"FUTUREMED AMERICA, INC",2013,CA-32,14995.75
"BECKMAN COULTER, INC",2013,CA-40,164213.04
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2013,CA-26,0.0
"FERBAK, INC.",2013,CA-90,0.0
"TECHNICAL COMMUNITIES, INC.",2013,CA-15,0.0
"TECOLOTE RESEARCH, INC.",2013,CA-24,-1724.2
BAE SYSTEMS NATIONAL SECURITY SOLUTIONS INC.,2013,CA-90,0.0
"PESTMASTER SERVICES, L.P.",2013,CA-90,-197.81
"TECOLOTE RESEARCH, INC.",2013,CA-24,-20201.88
PACIFIC BELL TELEPHONE COMPANY,2013,CA-90,4736.85
"AMERICAN CHILLER SERVICE, INC.",2013,CA-06,-744.0
ARGON OFFICE SUPPLIES,2013,CA-15,4580.0
RAYTHEON COMPANY,2013,CA-36,0.0
"PROVISTA SOFTWARE INTERNATIONAL, INC.",2013,CA-14,32406.76
IMAX SERVICE CORP,2013,CA-90,154572.96
NEW CHEF FASHION INC.,2013,CA-90,10098.7
CA GREEN IT,2013,CA-32,2491.55
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2013,CA-23,50097.0
"NEW TECH SOLUTIONS, INC.",2013,CA-17,33078.78
"TECOLOTE RESEARCH, INC.",2013,CA-24,1015467.35
"VARIAN MEDICAL SYSTEMS, INC",2013,CA-16,7597.0
GOODWILL INDUSTRIES OF SOUTHERN CALIFORNIA,2013,CA-90,299697.36
PRIDE INDUSTRIES,2013,CA-03,450046.8
PRIDE INDUSTRIES,2013,CA-03,75543.11
"BKM OFFICE ENVIRONMENTS, INC.",2013,CA-24,3400.0
PACIFIC BELL TELEPHONE COMPANY,2013,CA-90,25672.47
"JOB OPTIONS, INCORPORATED",2013,CA-90,183200.16
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",2013,CA-48,0.0
SAM INTERNATIONAL INFORMATION TECHNOLOGY INC,2013,CA-16,9511.68
"JAV, INC.",2013,CA-24,3440.0
"FIREHOUSE MEDICAL, INC.",2013,CA-46,106612.5
SAVI TECHNOLOGY INCORPORATED,2013,CA-16,0.0
"COAST TO COAST COMPUTER PRODUCTS, INC.",2013,CA-26,0.0
EN POINTE GOV INC,2013,CA-43,34687.8
"TECHNICAL COMMUNITIES, INC.",2013,CA-15,3467.5
NEXGENSEMI CORPORATION,2013,CA-49,99913.0
ABERDEEN LLC,2013,CA-38,4495.0
"WEST COAST BUSINESS PRODUCTS, INC.",2013,CA-32,9803.03
HEN'S NEST,2013,CA-49,0.0
"VESTIS SERVICES, LLC",2013,CA-30,478.98
"FISICA APPLIED TECHNOLOGIES, INC.",2013,CA-90,0.0
"TROFHOLZ TECHNOLOGIES, INC.",2013,CA-03,91030.0
"HUBB SYSTEMS, LLC",2013,CA-12,17791.56
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-32,0.0
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",2013,CA-28,0.0
LN CURTIS & SONS,2013,CA-12,3207.9
ERM-WEST INC,2013,CA-10,25630.54
COMPONENT SOURCING GROUP,2013,CA-49,9361.38
RAYTHEON COMPANY,2013,CA-24,0.0
AERO PRECISION INDUSTRIES LLC,2013,CA-14,1250.0
"AUTOPARTSPROS, LLC",2013,CA-50,0.0
"NEW TECH SOLUTIONS, INC.",2013,CA-17,165164.6
B & H INTERNATIONAL,2013,CA-20,33428.57
METCO ENGINEERING CORP,2013,CA-40,1569.44
THE SEVERSON GROUP LLC,2013,CA-90,-132.0
MCRD MUSEUM FOUNDATION,2013,CA-50,-1885.94
"CV ICE COMPANY, INC.",2013,CA-25,4991.2
BAE SYSTEMS LAND & ARMAMENTS L.P.,2013,CA-17,0.0
"HRL LABORATORIES, LLC",2013,CA-32,0.0
"HYDRO TEK SYSTEMS, INC.",2013,CA-33,3318.73
"QUALITY AVIATION, INC",2013,CA-35,280.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2013,CA-23,9718.5
LOCKHEED MARTIN CORPORATION,2013,CA-90,0.0
UNIVERSITY OF CALIFORNIA IRVINE,2013,CA-47,14905.0
"HEALTH NET FEDERAL SERVICES, LLC",2013,CA-90,0.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2013,CA-23,0.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2013,CA-17,1144679.0
"COASTAL SYSTEMS, INC.",2013,CA-46,15917.0
"O'MARIMAC ENTERPRISES, LTD.",2013,CA-49,39960.0
"INFORMATION MANAGEMENT RESOURCES, INC.",2013,CA-47,750000.0
"MEGGITT DEFENSE SYSTEMS, INC.",2013,CA-47,0.0
GENERATOR JOE INC.,2013,CA-04,4617.89
"GRILLO FILTER SALES, INC.",2013,CA-39,30000.0
EAST SAN DIEGO APPLIANCE,2013,CA-90,0.0
MICROSEMI FREQUENCY AND TIME CORP,2013,CA-17,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,451669.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,254571.0
PHYSICAL OPTICS CORPORATION,2013,CA-43,80000.0
CLAYTON MANUFACTURING COMPANY,2013,CA-31,8236.0
"NEW TECH SOLUTIONS, INC.",2013,CA-17,34164.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2013,CA-90,54501.0
"LEIDOS, INC.",2013,CA-90,91000.0
RAYTHEON COMPANY,2013,CA-90,310000.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2013,CA-90,0.0
"AGILENT TECHNOLOGIES, INC.",2013,CA-17,15553.32
DIRK CLENDENIN STEWART,2013,CA-41,10975.0
RAYTHEON COMPANY,2013,CA-90,1000000.0
IFE GROUP,2013,CA-50,2002.17
REDHORSE CORPORATION,2013,CA-50,582452.72
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,21486.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,135317.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2013,CA-90,642108.0
"STRATEGIC DATA SYSTEMS, INC.",2013,CA-51,558382.5
"IMPRES TECHNOLOGY SOLUTIONS, INC",2013,CA-38,48276.8
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,-108671.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,148002.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,29662.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,440304.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2013,CA-90,61447.0
"SYSTEMS TECHNOLOGY, INC",2013,CA-43,0.0
"AGILENT TECHNOLOGIES, INC.",2013,CA-17,15748.3
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),2013,CA-18,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,1631379.0
"MEGGITT (NORTH HOLLYWOOD), INC.",2013,CA-41,-920.0
PARKER-HANNIFIN CORPORATION,2013,CA-47,142868.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2013,CA-90,96308.0
"CTCOA, LLC",2013,CA-45,4600.0
"FERBAK, INC.",2013,CA-32,4135.0
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,2013,CA-46,0.0
"MICROWAVE POWER PRODUCTS, INC.",2013,CA-16,0.0
"GLENAIR, INC.",2013,CA-30,-10114.55
"METSON MARINE SERVICES, INC",2013,CA-24,0.0
"QTEC SOLUTIONS, INC.",2013,CA-41,12971.0
TDK-LAMBDA AMERICAS INC.,2013,CA-90,-2540.0
"REMOTE OCEAN SYSTEMS, INC.",2013,CA-90,0.0
PARKER-HANNIFIN CORPORATION,2013,CA-47,50000.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-17,2999997.0
SRI INTERNATIONAL,2013,CA-90,25000.0
"DUCOMMUN LABARGE TECHNOLOGIES, INC",2013,CA-44,-5000.0
G. C. MICRO CORPORATION,2013,CA-02,9000.0
"NEWPORT ELECTRONICS, INC.",2013,CA-46,26200.0
"HITACHI HIGH TECHNOLOGIES AMERICA, INC.",2013,CA-14,5560.0
"DIVERSIFIED TECHNICAL SYSTEMS, INC.",2013,CA-47,21565.0
"AGILENT TECHNOLOGIES, INC.",2013,CA-17,3902.16
PACIFIC AEROSPACE CONSULTING INC,2013,CA-50,0.0
CUNICO CORPORATION,2013,CA-42,63237.0
"SENTEK CONSULTING, INC.",2013,CA-90,149990.4
"TITANIUM COBRA SOLUTIONS, LLC",2013,CA-50,0.0
INTERNATIONAL COUNCIL ON SYSTEMS ENGINEERING,2013,CA-51,3750.0
"O'SULLIVAN, DONAL",2013,CA-29,16309.92
"MICRO PRECISION CALIBRATION, INC",2013,CA-03,0.0
"SPINE VIEW, INC.",2013,CA-17,4675.0
"TMJ SOLUTIONS, INC.",2013,CA-24,1500.0
SRI INTERNATIONAL,2013,CA-90,275638.0
"ALTIUM, INC.",2013,CA-49,8995.0
PRONK TECHNOLOGIES INC.,2013,CA-29,10810.0
"APPLIED BIOSYSTEMS, LLC",2013,CA-15,7793.41
"CIRCOR AEROSPACE, INC.",2013,CA-90,5200.0
"EMULATION TECHNOLOGY, INC.",2013,CA-26,0.0
MCGRATH RENTCORP,2013,CA-14,16996.4
PETER PEPPER PRODUCTS INC,2013,CA-44,0.0
IRCAMERA LLC,2013,CA-24,4150.0
"EAST BAY CLARKLIFT, INC.",2013,CA-12,13200.0
"W&K CONTAINER, INC.",2013,CA-02,50625.0
"APPLIED OPERATIONS RESEARCH, INC",2013,CA-49,0.0
"ADVANCED SCIENTIFIC ENTERPRISES, INC.",2013,CA-51,3747.95
CASCADE ORTHOPEDIC SUPPLY INC,2013,CA-01,18840.36
"BAXANO, INC.",2013,CA-90,-1053.0
"ACCLARENT, INC",2013,CA-15,250.0
"AGILENT TECHNOLOGIES, INC.",2013,CA-10,0.0
VIASAT INC,2013,CA-49,0.0
"TCJ, INC",2013,CA-31,8546.4
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",2013,CA-90,9610991.04
MENTOR WORLDWIDE LLC,2013,CA-24,-149.99
MDF TECHNOLOGIES INC,2013,CA-49,5449.0
"ADEPT PROCESS SERVICES, INC.",2013,CA-52,78275.0
"J.D.A. MARITIME, INC.",2013,CA-50,7421.72
"APPLIED COMPOSITE STRUCTURES, INC.",2013,CA-40,19440.0
VIASAT INC,2013,CA-49,106172.0
"SAN DIEGO MEDICAL ELECTRONICS, INC.",2013,CA-49,-256.9
"OSSUR AMERICAS, INC.",2013,CA-40,15839.72
"MEGGITT DEFENSE SYSTEMS, INC.",2013,CA-47,0.0
LOVEJOY'S FAMILY MOVING INC,2013,CA-52,925.32
"ETHICON, INC",2013,CA-47,-0.02
"MODERN DATA PRODUCTS, INC.",2013,CA-32,13600.0
"EADS NORTH AMERICA, INC.",2013,CA-47,0.0
"WHITE CAP CONSTRUCTION SUPPLY, INC.",2013,CA-47,96.99
"OMEGA II., INC.",2013,CA-52,0.0
"OFFICIA IMAGING, INC",2013,CA-90,5267.4
"CUBIC DEFENSE APPLICATIONS, INC.",2013,CA-90,-201470.0
PARKER-HANNIFIN CORPORATION,2013,CA-52,44500.0
"PRO FINISH PAINTING, INC.",2013,CA-90,25500.0
"AGILE FLEET, INC.",2013,CA-16,0.0
PACIFIC MARITIME GROUP INC,2013,CA-52,0.0
AH SYSTEMS INC,2013,CA-32,14985.0
ALL METALS ENGINEERING,2013,CA-47,-1912.5
BLUE TECH INC.,2013,CA-90,87898.77
DESERT HAVEN ENTERPRISES,2013,CA-90,15530.55
"ACCENT SERVICE COMPANY, INC.",2013,CA-47,0.0
"FRASER'S BOILER SERVICE, INC.",2013,CA-90,0.0
A & J MANUFACTURING CO,2013,CA-90,13875.0
"RAYMOND EXPRESS INTERNATIONAL, LLC",2013,CA-15,438259.91
REPUBLIC BRASS SALES INC.,2013,CA-51,2996.15
"RQ CONSTRUCTION, LLC",2013,CA-49,6240.0
NUGENERATION TECHNOLOGIES LLC,2013,CA-12,94.8
"HALBERT CONSTRUCTION COMPANY, INC.",2013,CA-51,10000.0
"S. CHAVES CONSTRUCTION, INC.",2013,CA-24,0.0
"IRIS INTERNATIONAL, INC.",2013,CA-32,45292.97
KISHIMOTO ARCHITECTS INC,2013,CA-90,0.0
LIFE TECHNOLOGIES CORPORATION,2013,CA-49,6750.0
BLUE TECH INC.,2013,CA-50,123690.97
ARAGON CONSTRUCTION INC.,2013,CA-35,0.0
MARKO CONSTRUCTION GROUP INC,2013,CA-21,1409805.0
BLUE TECH INC.,2013,CA-90,3725.08
"WEST MARINE PRODUCTS, INC.",2013,CA-90,11244.52
"COMPASS WATER SOLUTIONS, INC",2013,CA-47,14699.44
"OCML, INC",2013,CA-49,4583.97
VSOLVIT LLC,2013,CA-26,750000.0
"ADVANCED BRAIN MONITORING, INC.",2013,CA-49,66546.78
"TRANSIENT PLASMA SYSTEMS, INC",2013,CA-36,15100.0
"NOVA COMMERCIAL COMPANY, INC.",2013,CA-52,0.0
"MEGGITT (ORANGE COUNTY), INC.",2013,CA-49,148696.9
"STRAUB CONSTRUCTION, INC.",2013,CA-48,10651.0
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",2013,CA-90,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2013,CA-36,0.0
PATRIOT CONSTRUCTION INC,2013,CA-09,0.0
"TRIMBLE MILITARY AND ADVANCED SYSTEMS, INC.",2013,CA-17,0.0
"FEDERAL CONSTRUCTION GROUP, INC.",2013,CA-26,0.0
"LEIDOS, INC.",2013,CA-90,0.0
"HAL HAYS CONSTRUCTION, INC.",2013,CA-39,0.0
BLUE TECH INC.,2013,CA-90,0.0
"LEIDOS, INC.",2013,CA-50,36106.0
PORTILLO CONCRETE INC,2013,CA-51,29148.03
"COMTECH SATELLITE NETWORK TECHNOLOGIES, INC.",2013,CA-17,0.0
"SOLTA MEDICAL, INC.",2013,CA-14,0.0
BLUE TECH INC.,2013,CA-50,37082.12
CLARY CORP,2013,CA-31,0.0
"ORACLE AMERICA, INC",2013,CA-15,0.0
PRIDE INDUSTRIES,2013,CA-03,550.44
"INDUSTRIAL ELECTRONIC ENGINEERS, INC.",2013,CA-29,50.0
"GLOBAL ACADEMIC PROFESSIONALS, LLC",2013,CA-90,17600.0
"HYDRAULIC CONTROLS, INC.",2013,CA-52,-6844.47
INTELLIGENT INTERNATIONAL INC.,2013,CA-29,19480.0
VANTAGE ASSOCIATES INC.,2013,CA-38,40378.0
CONNECT FOUNDATION,2013,CA-50,10000.0
"CONSTRUCTION MACHINE SERVICES, LLC",2013,CA-49,84572.8
"FRASER'S BOILER SERVICE, INC.",2013,CA-52,0.0
"HORNET ACQUISITIONCO, LLC",2013,CA-45,360934.4
CENTRIX INTERNATIONAL CORP.,2013,CA-31,9259.04
RAM PHOTONICS LLC,2013,CA-90,0.0
FRONTIER TECHNOLOGY INC,2013,CA-24,225000.0
JACOBS ENGINEERING GROUP INC.,2013,CA-46,0.0
"TURNKEY CONSTRUCTION SERVICES, INC.",2013,CA-03,94250.0
"ONRAD, INC.",2013,CA-39,8000.0
"SPORTSTEK MEDICAL, INC.",2013,CA-48,99517.2
"SPORTSTEK MEDICAL, INC.",2013,CA-48,-475.0
METACOMP TECHNOLOGIES INC,2013,CA-26,10200.0
GCAS INC,2013,CA-50,0.0
"VSEE LAB, INC.",2013,CA-90,0.0
"AZACHOROK CONTRACT SERVICES, LLC.",2013,CA-90,0.0
"TECHNICAL COMMUNITIES, INC.",2013,CA-15,1937516.3
BLUE TECH INC.,2013,CA-50,11953.55
GILBANE FEDERAL,2013,CA-10,0.0
"CLARK/MCCARTHY, A JOINT VENTURE",2013,CA-47,-257104.0
"DCX-CHOL ENTERPRISES, INC.",2013,CA-90,0.0
"TECOLOTE RESEARCH, INC.",2013,CA-24,72000.0
"CLEMONS ELECTRIC, INC.",2013,CA-40,47910.0
