recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
MAC-LYN INDUSTRIES INC,2005,,-34890.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2005,CA-24,98973.0
TELEDYNE WIRELESS INC,2005,CA-49,0.0
BAE SYSTEMS AIRCRAFT CONTROLS,2005,CA-37,239616.0
"CONNECTEC COMPANY, INC.",2005,CA-47,1560.0
"FISICA APPLIED TECHNOLOGIES, INC.",2005,CA-90,38389.0
"F A SYSTEMS, INC.",2005,CA-90,13935.0
MEGGITT AIRDYNAMICS INCORPORATED,2005,CA-41,360540.0
"FISICA APPLIED TECHNOLOGIES, INC.",2005,CA-12,14065.0
"INSULATION SOURCES, INC",2005,CA-35,36142.0
HOWMET GLOBAL FASTENING SYSTEMS INC,2005,CA-26,10450.0
ISC8 INC.,2005,CA-47,374707.0
SE-IR CORPORATION,2005,CA-24,11810.0
"CERADYNE, INC.",2005,CA-47,11644.0
"BECKMAN COULTER, INC.",2005,CA-45,4166.0
"CONNECTEC COMPANY, INC.",2005,CA-47,36070.0
TYCO ELECTRONICS CORPORATION,2005,CA-16,11581.0
"EMPOWER RF SYSTEMS, INC.",2005,CA-43,8200.0
"FORREST TOOL COMPANY, INC.",2005,CA-02,94479.0
"RMA LAND CONSTRUCTION, INC",2005,CA-45,132523.0
"ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES, LLC",2005,CA-43,-1952.0
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",2005,CA-16,658013.0
GEN-PROBE INCORPORATED,2005,CA-90,52783.0
"CALIX, INC.",2005,CA-02,0.0
FBI/KOO A JOINT VENTURE,2005,CA-07,46937.0
"CENTURION SALES CO, INC",2005,CA-16,12906.0
HIGH SIERRA ELECTRONICS INC,2005,CA-03,29695.0
OKANAGAN WILD LIFE TAXIDERMY STUDIO LTD,2005,CA-90,4450.0
"R & M ENTERPRISES, INC.",2005,CA-20,3343.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2005,CA-17,48000.0
"ENTERPRISE RENT-A-CAR COMPANY OF LOS ANGELES, LLC",2005,CA-43,17350.0
"KHAVARIAN ENTERPRISES, INC.",2005,CA-42,6553.0
PRIDE INDUSTRIES,2005,CA-03,747804.0
"UNITED RENTALS (NORTH AMERICA), INC.",2005,CA-23,26860.0
"BOEING SATELLITE SYSTEMS, INC.",2005,CA-90,3225167.0
"PAULI SYSTEMS, INC.",2005,CA-08,201587.0
PUBLIC STORAGE,2005,CA-30,2784.0
GENERAL ATOMICS,2005,CA-90,100000.0
ORI SERVICES CORPORATION,2005,CA-90,164935.0
"CALL RECALL, INC",2005,CA-90,-316272.0
TRITON CONTAINER INTERNATIONAL INC OF N AMERICA,2005,CA-90,226.0
ELECTRO ADAPTER INC,2005,CA-32,1034.0
JASON ASSOCIATES CORPORATION,2005,CA-90,37684.0
SOUTHWESTERN MAINTENANCE,2005,CA-90,6900.0
