recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"TOSHIBA AMERICA INFORMATION SYSTEMS, INC.",2002,CA-47,90035.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-23,103500.0
"POLYCOM, INC.",2002,CA-14,36768.0
"LEIDOS, INC.",2002,CA-90,287594.0
HAULSEY ENGINEERING INC,2002,CA-51,70255.0
"TECOLOTE RESEARCH, INC.",2002,CA-24,364885.0
EXEMPLIS LLC,2002,CA-45,3569.0
FURNITURE BY THURSTON,2002,CA-03,710461.0
"CONTAINMENT CONSULTANTS, INC.",2002,CA-18,181011.0
ANRITSU COMPANY,2002,CA-18,39850.0
ENGILITY CORPORATION,2002,CA-32,40200.0
OCEAN SYSTEMS ENGINEERING CORPORATION,2002,CA-49,75743.0
ANVIL CASES INC,2002,CA-38,9744.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,44477.0
LABORATORY CORPORATION OF AMERICA,2002,,75000.0
VISX INCORPORATED,2002,CA-17,137500.0
"BECKMAN COULTER, INC",2002,CA-39,48511.0
CARDINAL HEALTH 301 INCORPORATED,2002,CA-90,1985129.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,32877.0
"TETRA TECH EMC, INC.",2002,CA-26,-5141.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2002,CA-23,6896.0
PARSONS GOVERNMENT SERVICES INC,2002,CA-40,29480.0
PARSONS GOVERNMENT SERVICES INC,2002,CA-90,2262000.0
TRIMBLE INC.,2002,CA-17,49063.0
"PLUMTREE SOFTWARE, INC",2002,CA-90,1603877.0
"BANNER AMERICAN PRODUCTS, INC.",2002,CA-48,1593.0
BEYOND COM CORPORATION,2002,,74864.0
"BITCENTRAL, INC.",2002,CA-47,102381.0
"WEST COAST BUSINESS PRODUCTS, INC.",2002,CA-32,1926.0
"MEGGITT (ORANGE COUNTY), INC.",2002,CA-49,29534.0
"AGILENT TECHNOLOGIES, INC.",2002,CA-17,-50851.0
RC ELECTRONICS INC.,2002,CA-24,8600.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,100000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,16630.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2002,CA-52,562000.0
D R S TECHNICAL SERVICES INC,2002,CA-90,65979.0
"TRIBUNE ENTERTAINMENT COMPANY, INC",2002,CA-90,57024.0
"HEALTH NET FEDERAL SERVICES, LLC",2002,CA-90,1923384.0
"LITTON SYSTEMS INC  , AERO PRO",2002,CA-32,-1280400.0
"WEST COAST BUSINESS PRODUCTS, INC.",2002,CA-32,30.0
"HEALTH NET, INC.",2002,CA-32,89518593.0
SRI INTERNATIONAL,2002,CA-90,154427.0
LOCKHEED MARTIN CORPORATION,2002,CA-90,70000.0
RAYTHEON COMPANY,2002,CA-51,53144.0
"SAN DIEGO PRECAST CONCRETE, INC.",2002,CA-48,5514.0
DAEGIS INC.,2002,CA-06,58300.0
"LEIDOS, INC.",2002,CA-90,4000000.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2002,CA-90,542100.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-52,50000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,-920.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,227052.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-52,22931.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,78946.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,70266.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-52,10018.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-52,-18261.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2002,CA-90,164900.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-90,134000.0
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),2002,CA-18,352278.0
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),2002,CA-18,76560.0
KING NUTRONICS CORPORATION,2002,CA-32,38615.0
N & K TECHNOLOGY INC,2002,CA-17,99995.0
ACCRATRONICS SEALS CORP,2002,CA-30,27850.0
TECHNOLOGY SERVICE CORP,2002,CA-90,69644.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2002,CA-26,71741.0
VISX INCORPORATED,2002,CA-17,52500.0
ROY BENNINGTON,2002,CA-52,374815.0
"PHILIPS MEDICAL SYSTEMS (CLEVELAND), INC.",2002,CA-47,63624.0
"MICROSOURCE, INC.",2002,CA-04,99000.0
GENTEX CORP,2002,CA-90,51154.0
KING NUTRONICS CORPORATION,2002,CA-32,26313.0
"SOLPAC, INC.",2002,CA-90,3686.0
ENVIRONMENTAL CHEMICAL CORPORATION,2002,CA-15,179070.0
"RAYTHEON APPLIED SIGNAL TECHNOLOGY, INC.",2002,CA-17,75069.0
"REMEC DEFENSE & SPACE, INC.",2002,CA-51,125500.0
"BECHTEL NATIONAL, INC.",2002,CA-11,15000000.0
"SURGICAL SHOOTING, INC",2002,CA-48,0.0
"NORTHROP GRUMMAN INFORMATION TECHNOLOGY, INC",2002,CA-90,11455.0
THE AUSTIN COMPANY,2002,CA-47,16318.0
"HARPER/NIELSEN DILLINGHAM BUILDERS, AJV",2002,CA-50,26649.0
STERLING COMPUTERS CORPORATION,2002,CA-36,32057.0
"SYMVIONICS, INC.",2002,CA-28,337137.0
ADVANCED CONCEPTS AND MISSION SYSTEMS,2002,CA-06,679999.0
DAHL TAYLOR & ASSOCIATES INC,2002,CA-51,48348.0
"PC MECHANICAL, INC.",2002,CA-24,100000.0
"DARYL GRIFFIS ACOUSTICS, INC.",2002,CA-90,4295.0
MILLER MARINE,2002,CA-52,9587.0
"ASRC CONSTRUCTION TECHNOLOGIES, INC.",2002,CA-90,10000.0
"EEL VALLEY CONSTRUCTION COMPANY, INC",2002,CA-02,25000.0
DENBESTE TRANSPORTATION INC,2002,CA-02,0.0
BARR ANNE-MARIE,2002,CA-36,35568.0
"ASRC CONSTRUCTION TECHNOLOGIES, INC.",2002,CA-90,10000.0
"QUANTUM3D, INC",2002,CA-19,39998.0
VTC ENTERPRISES,2002,CA-24,55467.0
"AERO ENGINEERING & MANUFACTURING COMPANY OF CALIFORNIA, LLC",2002,CA-27,0.0
MICRO DIGITAL ASSOCIATES INC,2002,CA-47,27395.0
GRAH SAFE & LOCK INC,2002,CA-50,1457.0
HOWMET GLOBAL FASTENING SYSTEMS INC,2002,CA-26,155394.0
"BASIC ELECTRONICS, INC.",2002,CA-45,41600.0
HARDY PROCESS SOLUTIONS,2002,CA-90,29390.0
"CHEMOCENTRYX, INC.",2002,CA-15,2813392.0
BORTIS PERFORMANCI MACHINE COMPANY,2002,CA-46,69915.0
"SYMVIONICS, INC.",2002,CA-28,153846.0
LOGICAL APPS INC,2002,CA-47,164419.0
PRIME MEASUREMENT PRODUCTS LLC,2002,CA-38,26415.0
"MARK AVITRON, INC.",2002,CA-05,0.0
METRO GOLDWYN MAYER,2002,CA-36,46464.0
G. C. MICRO CORPORATION,2002,CA-02,200611.0
BLACK GOLD INDUSTRIES,2002,CA-26,0.0
THOMAS LAND CLEARING COMPANY,2002,CA-42,3130361.0
MARATHON CONSTRUCTION CORPORATION,2002,CA-90,1570.0
SANDERS ENGINEERING CO INC,2002,CA-40,61825.0
"LEIDOS, INC.",2002,CA-90,36943.0
ADVANCED TOOL CORPORATION,2002,CA-26,99802.0
MEGGITT NORTH HOLLYWOOD INC,2002,CA-29,0.0
SUSAN NEILL FRESH FRUIT COMPANY,2002,CA-90,0.0
"TECSTAR POWER SYSTEMS, INC",2002,CA-38,40420.0
HYDRO-AIRE AEROSPACE CORP,2002,CA-30,31110.0
SMITH ACQUISITION COMPANY,2002,CA-31,38800.0
"SIGMA SERVICES, INC.",2002,CA-26,427447.0
"THERMAL STRUCTURES, INC",2002,CA-90,27719.0
PARKER-HANNIFIN CORPORATION,2002,CA-52,36190.0
"LEIDOS, INC.",2002,CA-90,1500000.0
"CONNECTEC COMPANY, INC.",2002,CA-47,103400.0
SEA PAC ENGINEERING INC,2002,CA-34,69304.0
"LEIDOS, INC.",2002,CA-90,440991.0
TERRA VAC CORP,2002,CA-46,536314.0
E2 CORP.,2002,CA-29,31416.0
ADVANCED ENGINEERING AND PRODU,2002,CA-90,27000.0
RAM ENTERPRISES I,2002,CA-27,30487.0
RBC TRANSPORT DYNAMICS CORP,2002,CA-46,25653.0
"SPACE-LOK, INC.",2002,CA-43,93750.0
SYSTEM TECHNICAL SUPPORT CORPORATION,2002,CA-37,52426.0
WEMS INC,2002,CA-43,65937.0
"TRACAR INDUSTRIES, CORPORATION",2002,CA-26,42484.0
"COATING SPECIALTIES, INC",2002,CA-43,72150.0
GENERAL DYNAMICS GOVERNMENT SY,2002,CA-16,1199140.0
EATON AEROSPACE LLC,2002,CA-30,97470.0
TRACEY KIM MEJIA,2002,CA-44,0.0
NEAL'S JANITORIAL SERVICE,2002,CA-90,57095.0
"PANELIGHT COMPONENTS GROUP, LLC",2002,CA-90,42750.0
"MANEY AIRCRAFT, INC.",2002,CA-35,28694.0
NORTHROP GRUMMAN SPACE & MISSION SYSTEMS CORP.,2002,CA-33,230606.0
"RNK INTERNATIONAL, INC.",2002,CA-90,16340.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-44,26269.0
"AERO ENGINEERING & MANUFACTURING COMPANY OF CALIFORNIA, LLC",2002,CA-90,123000.0
SENIOR OPERATIONS LLC,2002,CA-30,84844.0
VACCO INDUSTRIES,2002,CA-36,29150.0
POWER GENERATION CONSULTING INC,2002,CA-52,274777.0
"PACIFIC SHIP REPAIR & FABRICATION, INC.",2002,CA-90,14400.0
BUDDYS CONTRACTING SERVICE INC,2002,CA-21,243567.0
ACS INC.,2002,CA-31,31510.0
"MARKRIST ENGINEERS, INC.",2002,CA-90,602464.0
"LEIDOS, INC.",2002,CA-90,950000.0
"NU-TREK, INC.",2002,CA-48,99796.0
ACEPEX MANAGEMENT CORPORATION,2002,CA-35,-56457.0
"K.O.O. CONSTRUCTION, INC.",2002,CA-07,139388.0
NATIONAL AEROBICS & FITNESS TR,2002,CA-49,36180.0
LITTON SYSTEMS INC,2002,CA-90,0.0
J - T E C H,2002,CA-40,0.0
"MTCSC, INC.",2002,CA-52,65000.0
"NASCO AIRCRAFT BRAKE, INC.",2002,CA-90,28933.0
COMMERCE OVERSEAS CORP,2002,CA-90,91546.0
EATON AEROSPACE LLC,2002,CA-30,146013.0
"ELECTRICAL MAINTENANCE CONTRACTING, INC.",2002,CA-47,31602.0
HYDRA-ELECTRIC COMPANY,2002,CA-30,0.0
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,2002,CA-46,26755.0
MBM BOSS CORP,2002,CA-49,25058.0
