recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"EQUINIX, INC.",2015,CA-15,74526.9
"GLENAIR, INC.",2015,CA-30,1036.56
AMERICOVER,2015,CA-50,18299.84
VACCO INDUSTRIES,2015,CA-31,-498.75
"TELEDYNE REYNOLDS, INC.",2015,CA-36,52144.08
MEGGITT NORTH HOLLYWOOD INC,2015,CA-29,14250.0
"POWER DESIGN MANUFACTURING, LLC",2015,CA-18,57900.0
GDT INC,2015,CA-90,-2070.5
GEN-PROBE INCORPORATED,2015,CA-90,0.0
"BECKMAN COULTER, INC",2015,CA-40,6796.63
AVRYGEN CORPORATION,2015,CA-50,-300.05
CYNERGY PROFESSIONAL SYSTEMS LLC,2015,CA-47,154677.97
BIO RAD LABORATORIES INC,2015,CA-08,0.0
LIFE TECHNOLOGIES CORPORATION,2015,CA-49,-7.5
ADDITEL CORPORATION,2015,CA-40,0.0
"ZERO WASTE SOLUTIONS, INC",2015,CA-10,0.0
PHYSICAL OPTICS CORPORATION,2015,CA-90,0.0
RAYTHEON COMPANY,2015,CA-24,600000.0
ADAPTIVE COMPUTATION LLC,2015,CA-28,99959.0
"MARK RESOURCES, INC.",2015,CA-36,99999.94
B & H INTERNATIONAL LLC,2015,CA-20,5562.88
"TELEDYNE RISI, INC.",2015,CA-09,17280.0
"TOP STAR LEASING, INC.",2015,CA-32,-1064.58
"PHOENIX CONSTRUCTION SERVICE, LLC",2015,CA-51,-12483.54
"QTEC SOLUTIONS, INC.",2015,CA-41,20000.0
"EMERGENCY UNIVERSITY, INC.",2015,CA-90,0.0
"VOBECKY ENTERPRISES, INCORPORATED",2015,CA-31,125858.65
KARLEN CAPITAL CORPORATION,2015,CA-25,106097.5
IDEA AND DESIGN WORKS LLC,2015,CA-51,0.0
ACELLENT TECHNOLOGIES INC,2015,CA-17,0.0
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,2015,CA-46,228418.9
RAYTHEON COMPANY (INC),2015,CA-36,0.0
KHOROVSKY ENTERPRISES INC.,2015,CA-32,0.0
"GLOWLINK COMMUNICATIONS TECHNOLOGY, INC.",2015,CA-16,0.0
ELLIPTIGO INCORPORATED,2015,CA-49,9702.38
"L3 TECHNOLOGIES, INC.",2015,CA-90,0.0
VALIANT GLOBAL DEFENSE SERVICES INC,2015,CA-50,0.0
PRIDE INDUSTRIES,2015,CA-03,0.0
PRIDE INDUSTRIES,2015,CA-03,0.0
MANESCO CORPORATION,2015,CA-14,7100.0
"JWK MACHINERY SALES CO, INC.",2015,CA-90,132000.0
"TRADEMARK HOIST, INC.",2015,CA-35,18857.84
SPECTRUM SERVICES GROUP INC,2015,CA-06,-495332.0
HUMAN POTENTIAL CONSULTANTS LLC,2015,CA-44,0.0
GUMMESON CONSULTING INC,2015,CA-90,37500.0
"TOTAL RENAL CARE, INC.",2015,CA-47,0.0
"OHI RESORT HOTELS, LLC",2015,CA-45,7594.5
"ZERO WASTE SOLUTIONS, INC",2015,CA-17,1282.23
PACIFIC POWER SOURCE INC,2015,CA-47,70423.8
"STEVE'S PUMPS & WELL DRILLING, INC.",2015,CA-01,4500.0
VIAVI SOLUTIONS INC.,2015,CA-17,67552.0
"BRYANT FUEL TECHNOLOGIES, INC.",2015,CA-90,0.0
"SAFRAN ELECTRICAL COMPONENTS USA, INC",2015,CA-02,0.0
TUCSON HOTELS LP,2015,CA-19,-164.6
"VESTIS SERVICES, LLC",2015,CA-30,12524.2
"TECHNICAL COMMUNITIES, INC.",2015,CA-15,0.0
"GLENAIR, INC.",2015,CA-30,997.8
"ECO & ASSOCIATES, INC.",2015,CA-90,0.0
AEROTECH SOLUTIONS INC,2015,CA-08,5390.0
MULTIVARIABLE SOLUTIONS LLC,2015,CA-49,8839.0
PACIFIC ELECTRONIC ENTERPRISES INC,2015,CA-47,0.0
"VIP RUBBER COMPANY, INC.",2015,CA-38,1700.0
FUTURE FACILITIES INCORPORATED,2015,CA-17,56000.0
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",2015,CA-17,4406750.0
EASE INC,2015,CA-40,3750.0
THE BOEING COMPANY,2015,CA-42,0.0
LOCKHEED MARTIN CORPORATION,2015,CA-27,901238.0
HYDROMACH INC,2015,CA-32,97781.2
"ZERO WASTE SOLUTIONS, INC",2015,CA-10,244920.98
"U.S. HEALTHWORKS, INC.",2015,CA-27,-442.9
"CAREFUSION SOLUTIONS, LLC",2015,CA-50,28753.56
KARL STORZ ENDOSCOPY-AMERICA INC,2015,CA-36,3749.0
KESTREL INSTITUTE,2015,CA-16,300000.0
FRONTIER TECHNOLOGY INC,2015,CA-24,0.0
"BECKMAN COULTER, INC",2015,CA-40,0.0
RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,2015,CA-90,1078684.99
RAPISCAN SYSTEMS INC,2015,CA-90,3520.0
"BECKMAN COULTER, INC",2015,CA-40,0.0
"TRANSPARENT PRODUCTS, INC.",2015,CA-27,0.0
LANDMARK HOSPITALITY LLC,2015,CA-45,0.0
GALORATH INCORPORATED,2015,CA-36,382444.0
CREONEX SYSTEMS INC,2015,CA-26,562500.0
KARL STORZ ENDOSCOPY-AMERICA INC,2015,CA-90,40000.0
QB MEDICAL INC,2015,CA-52,0.0
"UNITED SITE SERVICES OF CALIFORNIA, INC.",2015,CA-16,43167.0
ANIXTER INC.,2015,CA-51,12470.74
PRESENTATION PRODUCTS INC,2015,CA-38,20310.85
CPD INDUSTRIES,2015,CA-35,8841.56
AMRON INTERNATIONAL INC,2015,CA-49,25058.55
"PREMIER LOGISTICAL CENTER, INC.",2015,CA-23,3600.0
AARDVARK,2015,CA-31,31083.0
"TECHNICAL COMMUNITIES, INC.",2015,CA-15,175150.9
THE AEROSPACE CORPORATION,2015,CA-36,10085000.0
S SYSTEMS CORPORATION,2015,CA-36,0.0
THE BOEING COMPANY,2015,CA-47,0.0
PHYSICAL OPTICS CORPORATION,2015,CA-43,149999.0
BIO RAD LABORATORIES INC,2015,CA-08,0.0
ADVANCED DIGITAL SOLUTIONS INTERNATIONAL,2015,CA-90,7596.5
"OASIS MEDICAL, INC.",2015,CA-31,7500.0
"IMPRES TECHNOLOGY SOLUTIONS, INC",2015,CA-38,17737.55
RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,2015,CA-90,54799.0
"VULCAN WIRELESS, INC.",2015,CA-49,135566.0
