recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"HYDRAULICS INTERNATIONAL, INC.",2022,CA-32,0.0
"ENVIRONMENTAL COMPLIANCE PRODUCTS, INC.",2022,CA-47,2200.0
B & H INTERNATIONAL LLC,2022,CA-20,24771.46
HYDRO-AIRE AEROSPACE CORP,2022,CA-30,2498444.0
"TECHNICAL COMMUNITIES, INC.",2022,CA-15,115544.57
VALVE AUTOMATION AND CONTROL OF SAN DIEGO,2022,CA-52,4806.0
"INTELLIPOWER, INC.",2022,CA-46,0.0
"EXCLUSIVE TENT RENTALS, INC",2022,CA-28,71696.24
"PROLACTA BIOSCIENCE, INC",2022,CA-31,0.0
UNIVERSITY OF SOUTHERN CALIFORNIA,2022,CA-34,80343.0
"EXCLUSIVE TENT RENTALS, INC",2022,CA-28,200850.0
YORKSHIRE INDUSTRIES LLC,2022,CA-07,120037.5
"SCALE AI, INC.",2022,CA-11,0.0
"AEROVIRONMENT, INC.",2022,CA-26,0.0
STEPHEN PAUL MANGUM,2022,CA-48,-6920.0
"SMITH ART CONSERVATION, LLC",2022,CA-03,41409.36
"AMG CONSTRUCTION COMPANY, INCORPORATED",2022,CA-25,49403.0
MEC ENGINEERING & CONSTRUCTION LLC,2022,CA-06,42900.0
"AECOM TECHNICAL SERVICES, INC.",2022,CA-34,0.0
"TICKNOR, CAMMY C",2022,CA-10,-92450.83
ARETE ASSOCIATES,2022,CA-32,259594.34
PRYMOL BUSINESS MANAGEMENT INC,2022,CA-32,-6174.83
"ILLUMINA, INC.",2022,CA-50,41425.0
WYNN INNOVATIONS LLC,2022,CA-03,12533.78
NAPA SIERRA,2022,CA-01,0.0
VALIANT GLOBAL DEFENSE SERVICES INC.,2022,CA-51,45000000.0
ROBBERSON WILLIAM,2022,CA-11,9937.5
MALONEY-ODIN JV,2022,CA-02,181983.09
"CREATION NETWORKS, INC.",2022,CA-10,31281.19
"FNH, INC",2022,CA-17,37914.21
RAL INVESTMENT CORPORATION,2022,CA-51,-11875.32
"SPACE AGE ENGINEERING, INC",2022,CA-32,0.0
GCJ INC,2022,CA-09,681856.0
"THE ALDRIN FAMILY FOUNDATION, INC.",2022,CA-32,591.96
CEPHEID,2022,CA-17,0.0
"HDR ENGINEERING, INC.",2022,CA-03,0.0
GOODWILL INDUSTRIES OF SOUTHERN CALIFORNIA,2022,CA-34,0.0
B & H INTERNATIONAL LLC,2022,CA-20,33956.5
MELGAR FACILITY MAINTENANCE LLC,2022,CA-19,196687.71
"PACIFIC DREDGE AND CONSTRUCTION, LLC",2022,CA-52,15055.26
VCLOUD TECH INC,2022,CA-36,56724.0
"AECOM TECHNICAL SERVICES, INC.",2022,CA-34,0.0
GILBANE FEDERAL,2022,CA-10,1700000.0
BIO RAD LABORATORIES INC,2022,CA-08,0.0
"STRAUB CONSTRUCTION, INC.",2022,CA-48,500000.0
"VIOPTIX, INC.",2022,CA-17,0.0
VECTOR RESOURCES INC,2022,CA-43,9580.0
PRIDE INDUSTRIES,2022,CA-03,7133160.6
MATTHEW SOULIER MD LLC,2022,CA-05,35945.0
"DILTEX, INC.",2022,CA-31,6310.39
"FLIGHT LIGHT, INC.",2022,CA-07,109533.78
"TAPESTRY SOLUTIONS, INC.",2022,CA-51,0.0
"METIS LI, LLC",2022,CA-47,227825.06
PACIFIC ELECTRONIC ENTERPRISES INC,2022,CA-47,41625.33
"CREATIVE DIGITAL SYSTEMS INTEGRATION, INC.",2022,CA-26,0.0
UNITED PARADYNE CORP,2022,CA-24,36014.65
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-32,400000.0
TRADECRAFT TRAINING LLC,2022,CA-14,34800.0
DIVINE IMAGING INC.,2022,CA-32,0.0
WALARIS LLC,2022,CA-11,0.0
808 SOLUTIONS INC,2022,CA-50,63198.0
"Q-PAR ANTENNAS USA, LLC",2022,CA-48,216752.0
"ZERO WASTE SOLUTIONS, INC",2022,CA-10,0.0
MCP COMPUTER PRODUCTS INC,2022,CA-50,8787459.4
"SPECIALIZED GOVERNMENT SOURCING, INC.",2022,CA-40,54614.52
"STRAUB CONSTRUCTION, INC.",2022,CA-48,107856.0
"UNITED TESTING SYSTEMS, INC.",2022,CA-46,14824.58
LOCKHEED MARTIN CORP,2022,CA-17,5500000.0
THE BOEING COMPANY,2022,CA-47,0.0
"DIRECTV, LLC",2022,CA-36,-1371.66
"GENERAL DYNAMICS MISSION SYSTEMS, INC.",2022,CA-17,0.0
NEW CENTURY TECHNOLOGIES INC.,2022,CA-50,263.79
"BOEING SATELLITE SYSTEMS, INC.",2022,CA-36,0.0
RAYTHEON COMPANY,2022,CA-36,28000.0
"R.S. HUGHES COMPANY, INC.",2022,CA-17,605.88
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,2022,CA-50,260850.0
"CONTROLX, INC",2022,CA-17,0.0
RAM PHOTONICS LLC,2022,CA-50,0.0
"TICKNOR, CAMMY C",2022,CA-14,87571.2
SRI INTERNATIONAL,2022,CA-16,99005.0
"EXPERIAN INFORMATION SOLUTIONS, INC.",2022,CA-46,-4907.52
"SHIFT.ORG, INC.",2022,CA-11,199522.0
"DEVINE CONSULTING, INC.",2022,CA-17,67836.5
COMPONENT SOURCING GROUP,2022,CA-47,2636.5
PALANTIR USG INC,2022,CA-16,1500000.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-36,42055900.0
"PELCO, INC.",2022,CA-05,1448.27
NORTHROP GRUMMAN SYSTEMS CORP,2022,CA-36,2000000.0
"AOSENSE, INC.",2022,CA-17,0.0
ARROW MICRO CORP,2022,CA-38,13192.84
INVENTORY AUDITORS INTERNATIONAL LLC,2022,CA-23,0.0
MERCURY MISSION SYSTEMS LLC,2022,CA-43,0.0
NEW CENTURY TECHNOLOGIES INC.,2022,CA-50,104.0
DESERT STAR SYSTEMS LLC,2022,CA-19,0.0
"BIOPAC SYSTEMS, INC.",2022,CA-24,48286.0
"TECOLOTE RESEARCH, INC.",2022,CA-24,196668.4
M&A GLOBAL CARTRIDGES LLC,2022,CA-34,254.97
"LIFEWARD CA, INC.",2022,CA-17,41588.52
"VALLEY TECH SYSTEMS, INC.",2022,CA-03,0.0
UNIVERSITY OF SOUTHERN CALIFORNIA,2022,CA-34,464000.0
BLUE TECH INC.,2022,CA-50,50235.81
"TECOLOTE RESEARCH, INC.",2022,CA-24,125000.0
PARSONS GOVERNMENT SERVICES INC.,2022,CA-28,8828612.94
NEW CENTURY TECHNOLOGIES INC.,2022,CA-50,179.98
"HEALTH NET FEDERAL SERVICES, LLC",2022,CA-03,0.0
"DILTEX, INC.",2022,CA-31,0.0
"JOB OPTIONS, INCORPORATED",2022,CA-51,0.0
"EBS SUPPLY, INC.",2022,CA-50,0.0
"MBA OFFICE SUPPLY, INC.",2022,CA-17,454.98
"AUCTANE, INC.",2022,CA-36,19942.56
CRITERIA CORP.,2022,CA-30,8500.0
NEW CENTURY TECHNOLOGIES INC.,2022,CA-50,189.5
PARSONS GOVERNMENT SERVICES INC.,2022,CA-28,-17904.76
DIVINE IMAGING INC.,2022,CA-32,1005.12
H. CO. COMPUTER PRODUCTS,2022,CA-47,35717.9
"VARIAN MEDICAL SYSTEMS, INC",2022,CA-16,334407.0
SRI INTERNATIONAL,2022,CA-16,1038529.0
"CHILL-TEK, INC.",2022,CA-36,14228.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2022,CA-52,-14578.62
"NEW TECH SOLUTIONS, INC.",2022,CA-17,10967.5
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-17,104902.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-17,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,0.0
"AVIATE ENTERPRISES, INC.",2022,CA-06,501800.7
KROS-WISE,2022,CA-50,0.0
VIASAT INC,2022,CA-49,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",2022,CA-51,0.0
VACCO INDUSTRIES,2022,CA-31,2880.0
"COIL WINDING SPECIALIST, INC.",2022,CA-46,-30154.0
ARMTEC COUNTERMEASURES CO,2022,CA-25,0.0
FITZHUGH CLIFTON,2022,CA-51,580.0
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",2022,CA-46,-22519.0
"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",2022,CA-46,0.0
PARKER-HANNIFIN CORPORATION,2022,CA-47,0.0
"ABTECH TECHNOLOGIES, INC.",2022,CA-49,0.0
"BECTON, DICKINSON AND COMPANY",2022,CA-17,5965.78
DYNAMIC SYSTEMS INC,2022,CA-36,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,122720.0
RANTEC POWER SYSTEMS INC.,2022,CA-24,-247995.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,135575.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-17,351136.44
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-17,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,25470.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,498309.0
SAN DIEGO LESSEE LLC,2022,CA-51,46703.88
"NEW TECH SOLUTIONS, INC.",2022,CA-17,17700.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,-406226.15
"NEW TECH SOLUTIONS, INC.",2022,CA-17,33156.09
RED RIVER RESOURCES LLC,2022,CA-50,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,21975.45
"NEW TECH SOLUTIONS, INC.",2022,CA-17,44588.7
NERIDA ARTHUR,2022,CA-52,0.0
ADVANTAGE BIOMEDICAL SERVICES,2022,CA-14,29138.0
CELL MARQUE CORP,2022,CA-03,13503.0
"ALPHA RESEARCH & TECHNOLOGY, INC.",2022,CA-05,0.0
STERLING DESIGN,2022,CA-40,0.0
VI-STAR GEAR CO INC,2022,CA-44,363998.0
KING NUTRONICS CORPORATION,2022,CA-32,23250.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,-15826.1
"USMILCOM, INC.",2022,CA-46,21010.57
"QUESTIVITY, INC.",2022,CA-17,40583.6
XENDEE CORPORATION,2022,CA-51,0.0
A VERY GOOD AGENCY INC,2022,CA-29,169450.0
"BOARHOG, LLC",2022,CA-50,0.0
NOVUS ORIGO INC.,2022,CA-49,0.0
SUNGRO PRODUCTS LLC,2022,CA-37,9691.36
PARKER-HANNIFIN CORPORATION,2022,CA-47,293296.4
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-32,30460.84
"ARBITER SYSTEMS, INC.",2022,CA-19,4268.77
LN CURTIS & SONS,2022,CA-10,58307.0
AMERICAN TEXTILE MAINTENANCE COMPANY,2022,CA-37,2275.0
"CHESAPEAKE TECHNOLOGY, INC",2022,CA-16,5580.0
"TELEDYNE INSTRUMENTS, INC.",2022,CA-51,10140.0
CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,2022,CA-52,8265.59
BODAGGER ENTERPRISES INC,2022,CA-26,0.0
MARE ISLAND DRY DOCK LLC,2022,CA-08,2000000.0
DEL MAR ENVIRONMENTAL & CONSTRUCTION SERVICES INC.,2022,CA-52,0.0
OCS CONSTRUCTION SERVICES INC,2022,CA-39,87759.0
"CUBIC DEFENSE APPLICATIONS, INC.",2022,CA-51,0.0
RIX INDUSTRIES,2022,CA-08,-29246.1
"JSL TECHNOLOGIES, INC.",2022,CA-26,-23814.96
SRI INTERNATIONAL,2022,CA-16,1699320.0
"PALOMAR PRODUCTS, INC.",2022,CA-40,0.0
"B.J. WOLFE ENTERPRISES, INC",2022,CA-26,25875.0
"CUBIC DEFENSE APPLICATIONS, INC.",2022,CA-51,232989.0
SOLUTIONS SIMPLIFIED,2022,CA-06,14317.0
RQ-WM JORDAN JV,2022,CA-49,32317.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,158401.44
PACIFIC MARITIME INDUSTRIES CORP.,2022,CA-52,14800.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,48070.0
BLUE TECH INC.,2022,CA-50,34450.0
RS HUGHES CO INC,2022,CA-49,4411.2
BLUE TECH INC.,2022,CA-50,9214.8
"NEW TECH SOLUTIONS, INC.",2022,CA-17,29435.44
TORK SYSTEMS INC,2022,CA-12,46046.16
HEFFLER CONTRACTING GROUP,2022,CA-51,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,0.0
VIRTUALITICS INC,2022,CA-28,0.0
STANDRIDGE GRANITE CORP,2022,CA-38,0.0
GBL SYSTEMS CORPORATION,2022,CA-26,-151000.0
"RORE, INC.",2022,CA-51,0.0
"STRYKER SALES, LLC",2022,CA-19,213399.36
G. C. MICRO CORPORATION,2022,CA-02,0.0
TOYON RESEARCH CORPORATION,2022,CA-24,0.0
CEMTROL INC.,2022,CA-40,0.0
"NEW TECH SOLUTIONS, INC.",2022,CA-17,791.31
"AECOM TECHNICAL SERVICES, INC.",2022,CA-34,0.0
"ODME SOLUTIONS, LLC",2022,CA-50,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2022,CA-50,0.0
"MESA ENERGY SYSTEMS, INC",2022,CA-47,0.0
FIRST ALARM,2022,CA-19,3925.68
ACRO SALES CO.,2022,CA-52,295.0
PARK SANG Y,2022,CA-38,-2209.77
NORTH WIND-CDM JV LLC,2022,CA-50,0.0
CARL ZEISS MEDITEC INC,2022,CA-10,0.0
"FISICA APPLIED TECHNOLOGIES, INC.",2022,CA-15,0.0
HJ SCIENCE & TECHNOLOGY INC,2022,CA-12,500000.0
"R.S. HUGHES CO, INC",2022,CA-31,5337.9
B & H INTERNATIONAL LLC,2022,CA-20,34092.0
VIASAT INC,2022,CA-49,0.0
MENTOR WORLDWIDE LLC,2022,CA-47,12954.91
"KOAM ENGINEERING SYSTEMS, INC.",2022,CA-51,0.0
