recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
SYSTEMS APPLICATION & TECHNOLOGIES INC,2016,CA-26,0.0
GENERAL ATOMICS,2016,CA-50,0.0
OUTSOURCE LTD,2016,CA-48,3108.0
OUTSOURCE LTD,2016,CA-48,2592.0
SRI INTERNATIONAL,2016,CA-16,0.0
JOHN KARDOS,2016,CA-50,5220.0
"DONALDSON COMPANY, INC.",2016,CA-27,0.0
"NEWVAC, LLC",2016,CA-32,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",2016,CA-51,209642.0
HEDGEFOG RESEARCH INC.,2016,CA-40,999498.47
PACIFIC IC SOURCE,2016,CA-23,7602.0
LINKEDIN CORPORATION,2016,CA-16,0.0
WESTGATE USA,2016,CA-45,14842.5
DIGIACOMO-GEFFERS & ASSOCIATES,2016,CA-40,0.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",2016,CA-48,0.0
"SAJJAD, ZAINAB S.",2016,CA-45,11061.36
"KLEINMAN, STEVEN M",2016,CA-19,-5200.0
DAVID KOPF INSTRUMENTS,2016,CA-30,0.0
"EKSO BIONICS, INC",2016,CA-08,-515465.14
PHYSICAL OPTICS CORPORATION,2016,CA-43,99998.8
HEIDELBERG INSTRUMENTS INC.,2016,CA-43,1414700.0
"DYNAMIK, INC.",2016,CA-50,26368.0
COUNTY OF CALAVERAS,2016,CA-05,57340.8
CHROMOLOGIC LLC,2016,CA-31,49984.71
"L-3 COMMUNICATIONS SONOMA EO, INC.",2016,CA-02,0.0
VALIANT GLOBAL DEFENSE SERVICES INC,2016,CA-50,441624.5
GRANITE CONSTRUCTION COMPANY,2016,CA-18,0.0
VALIANT GLOBAL DEFENSE SERVICES INC,2016,CA-50,0.0
"LEIDOS, INC.",2016,CA-90,0.0
INTELLIGENT INTERNATIONAL INC.,2016,CA-29,-301.21
TREX ENTERPRISES CORPORATION,2016,CA-51,0.0
RAPISCAN SYSTEMS INC,2016,CA-43,116561.21
"INTERACTIVE SYSTEMS, INC.",2016,CA-08,3480.0
"HERMAN CONSTRUCTION GROUP, INC.",2016,CA-50,0.0
PROTOGATE INC,2016,CA-51,14910.0
"MADLAND TOYOTA-LIFT, INC.",2016,CA-20,93888.62
D'ORTIZ ENTERPRISES LLC,2016,CA-21,6720.0
SKYDIVE ELSINORE INC,2016,CA-41,50270.0
SYSTEMS SOURCE INC,2016,CA-47,17122.13
"RQ CONSTRUCTION, LLC",2016,CA-49,45513.0
MARATHON CONSTRUCTION CORPORATION,2016,CA-48,13471.0
"BECKMAN COULTER, INC",2016,CA-40,144404.52
ENVIRONMENTAL CHEMICAL CORPORATION,2016,CA-15,0.0
"COAST TO COAST COMPUTER PRODUCTS, INC.",2016,CA-26,0.0
LYNNLUX LOGISTICS LLC,2016,CA-07,0.0
TRABUS,2016,CA-51,200019.26
"ADH TECHNICAL SERVICES, INC.",2016,CA-19,10016.85
"TURNITIN, LLC",2016,CA-12,14550.0
PACIFIC ELECTRONIC ENTERPRISES INC,2016,CA-47,0.0
"WORLDWIDE RECOVERY SYSTEMS, INCORPORATED",2016,CA-40,19224.0
"BLACKSTONE CONSULTING, INC",2016,CA-32,0.0
MEDCORP DISTRIBUTING INC,2016,CA-19,0.0
AGILOFT INC,2016,CA-15,25614.16
NORTHROP GRUMMAN SYSTEMS CORPORATION,2016,CA-50,6100569.0
VALIANT GLOBAL DEFENSE SERVICES INC,2016,CA-50,546622.41
"GLENAIR, INC.",2016,CA-30,3939.12
"CERADYNE, INC.",2016,CA-47,36610960.0
TRABUS,2016,CA-50,12240.0
ROC-AIRE CORP.,2016,CA-35,190068.11
RAPISCAN SYSTEMS INC,2016,CA-43,52466.4
"AUTODESK, INC.",2016,CA-02,-14370.0
GENERAL ATOMICS,2016,CA-50,10000.0
THE BOEING COMPANY,2016,CA-47,0.0
"DCX-CHOL ENTERPRISES, INC.",2016,CA-43,72000.0
SRI INTERNATIONAL,2016,CA-16,0.0
"AEROJET ROCKETDYNE OF DE, INC",2016,CA-32,0.0
ENVIRONMENTAL CHEMICAL CORPORATION,2016,CA-15,0.0
"ENVIRONMENTAL SYNECTICS, INC",2016,CA-07,34165.0
XRAD TELE-SERVICES INC,2016,CA-49,-235.35
"BECKMAN COULTER, INC",2016,CA-40,57777.31
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,548273.56
"JAKEN MEDICAL INC., A CALIFORNIA CORPORATION",2016,CA-35,5576.86
"BECKMAN COULTER, INC.",2016,CA-40,0.0
"URS GROUP, INC.",2016,CA-06,0.0
PHYSICAL OPTICS CORPORATION,2016,CA-43,0.0
"HRL LABORATORIES, LLC",2016,CA-32,990526.0
"COMPULINK MANAGEMENT CENTER, INC.",2016,CA-44,8940.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2016,CA-23,73164.06
THE BOEING COMPANY,2016,CA-47,0.0
THE BOEING COMPANY,2016,CA-47,0.0
VALIANT GLOBAL DEFENSE SERVICES INC.,2016,CA-51,1514447.0
"TELEDYNE FLIR EOC, LLC",2016,CA-24,1399973.0
HNC SOFTWARE LLC,2016,CA-50,0.0
DYNAMIC SYSTEMS INC,2016,CA-36,6149.61
"VANGUARD SPACE TECHNOLOGIES, INC.",2016,CA-51,0.0
ZIVA CORPORATION,2016,CA-51,74632.0
"CONTAINMENT CONSULTANTS, INC.",2016,CA-18,13193.73
NATUS MEDICAL INCORPORATED,2016,CA-15,-2500.0
BOSTON SCIENTIFIC NEUROMODULATION CORP,2016,CA-27,4560.0
LOCKHEED MARTIN CORPORATION,2016,CA-16,152684.0
"BECKMAN COULTER, INC",2016,CA-40,0.0
LINQUEST CORPORATION,2016,CA-37,-80711.0
"OMNICELL, INC.",2016,CA-16,172876.8
"LOSS PREVENTION SYSTEMS, INC.",2016,CA-48,0.0
VIRGINIA PATZI,2016,CA-52,85000.0
ALPHASTAR TECHNOLOGY SOLUTIONS LLC,2016,CA-42,149916.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",2016,CA-26,-2340.0
LOCKHEED MARTIN CORP,2016,CA-17,1407448.0
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,15817.59
DYNAMIC SYSTEMS INC,2016,CA-36,0.0
TIBBETT & ASSOCIATES INC,2016,CA-51,6848.0
THE BOEING COMPANY,2016,CA-36,0.0
"G. A. TYLER ASSOCIATES, INC.",2016,CA-46,130000.0
H. CO. COMPUTER PRODUCTS,2016,CA-47,11346.0
"INTEROUTE USA, INC.",2016,CA-02,0.0
VALIANT GLOBAL DEFENSE SERVICES INC,2016,CA-50,1262250.0
MICROSEMI FREQUENCY AND TIME CORP,2016,CA-17,31108.36
TIME WARNER CABLE INC.,2016,CA-36,5759.28
"CYPHER ANALYTICS, INC.",2016,CA-50,0.0
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,17439.84
"IMPRES TECHNOLOGY SOLUTIONS, INC",2016,CA-38,7642.06
WENZLAU ENGINEERING INC,2016,CA-28,1010456.0
"IDENTIV, INC.",2016,CA-14,1724.0
"GALAXIE MANAGEMENT, INC.",2016,CA-51,22352.08
EXQUADRUM INC,2016,CA-23,0.0
EXQUADRUM INC,2016,CA-23,76868.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2016,CA-28,1582819.0
IFE GROUP,2016,CA-49,165442.1
EXQUADRUM INC,2016,CA-23,0.0
"HEALTH NET FEDERAL SERVICES, LLC",2016,CA-03,-8024.01
"CHARON TECHNOLOGIES, LLC",2016,CA-26,-10000.0
"AEROVIRONMENT, INC.",2016,CA-31,0.0
J.E.I.,2016,CA-05,12306.9
LN CURTIS & SONS,2016,CA-12,5636.8
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,0.0
ADVANCED DIGITAL SOLUTIONS INTERNATIONAL,2016,CA-17,16815.0
THE LELAND STANFORD JUNIOR UNIVERSITY,2016,CA-16,0.0
"IMPRES TECHNOLOGY SOLUTIONS, INC",2016,CA-38,60344.5
"HEALTH NET FEDERAL SERVICES, LLC",2016,CA-03,56000000.0
"CUBIC DEFENSE APPLICATIONS, INC.",2016,CA-51,0.0
UNIVERSITY OF SOUTHERN CALIFORNIA,2016,CA-37,0.0
"SANTA BARBARA INFRARED, INC.",2016,CA-24,-1196.0
"TOP STAR LEASING, INC.",2016,CA-32,40315.59
NORTHROP GRUMMAN SYSTEMS CORPORATION,2016,CA-36,0.0
"HWI GEAR, INC.",2016,CA-24,0.0
"GALAXIE MANAGEMENT, INC.",2016,CA-51,4086.06
"MATSON NAVIGATION COMPANY, INC.",2016,CA-12,0.0
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,19489.23
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2016,CA-52,438938.0
LN CURTIS & SONS,2016,CA-12,-41563.5
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,15571.45
"NLESYSTEMS, INC.",2016,CA-30,31034.52
SECUR-SERV INC,2016,CA-47,951.0
"TECHNICAL COMMUNITIES, INC.",2016,CA-15,0.0
"BIONIQUEST LAB SERVICES, INC",2016,CA-10,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2016,CA-52,29254.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2016,CA-52,963965.0
PARSONS GOVERNMENT SERVICES INC.,2016,CA-28,723839.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",2016,CA-48,-153591.91
"IMPRES TECHNOLOGY SOLUTIONS, INC",2016,CA-38,93166.93
"TECOLOTE RESEARCH, INC.",2016,CA-24,611295.46
GENERAL ATOMICS,2016,CA-50,0.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2016,CA-52,353683.0
ARETE ASSOCIATES,2016,CA-32,500000.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2016,CA-52,303448.0
"FERBAK, INC.",2016,CA-32,3901.0
