recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"CACI PHOTONICS, LLC",2021,CA-16,0.0
"CAMERON TECHNOLOGIES US, INC.",2021,CA-31,8630.0
"AEROMETALS, INC.",2021,CA-05,24410.0
EDDY PUMP CORPORATION,2021,CA-48,0.0
THE BOEING COMPANY,2021,CA-47,0.0
PARKER-HANNIFIN CORPORATION,2021,CA-47,0.0
CLARY CORP,2021,CA-31,7392.0
TOYON RESEARCH CORPORATION,2021,CA-24,550000.0
QTC MEDICAL SERVICES INC,2021,CA-31,0.0
CRITICAL INNOVATIONS LLC,2021,CA-43,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2021,CA-44,-601.42
"EXCLUSIVE TENT RENTALS, INC",2021,CA-28,-12360.0
TOYON RESEARCH CORPORATION,2021,CA-24,403640.82
"ODIN ENVIRONMENTAL SOLUTIONS, LLC",2021,CA-03,144348.05
"MERRIMAC PETROLEUM, INC",2021,CA-42,50000.0
NRC ENVIRONMENTAL SERVICES INC.,2021,CA-12,0.0
R.J. MFG.,2021,CA-13,19516.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2021,CA-23,0.0
"STRATEGIC OPERATIONS, INC.",2021,CA-51,0.0
CASTILLO FRITZ,2021,CA-25,0.0
"AQUALUNG USA, INC",2021,CA-49,0.0
"DETROIT DEFENSE, INC.",2021,CA-24,0.0
AMERICAN CLASSIC CONSTRUCTION INC.,2021,CA-32,65812.8
AMERICAN CLASSIC CONSTRUCTION INC.,2021,CA-32,21870.3
AMERICAN CLASSIC CONSTRUCTION INC.,2021,CA-32,24073.06
"C J W CONSTRUCTION, INC.",2021,CA-46,0.0
PHYSICAL OPTICS CORPORATION,2021,CA-43,0.0
GILBANE FEDERAL,2021,CA-10,165423.8
PRIDE INDUSTRIES,2021,CA-03,50000.0
THE DUTRA GROUP,2021,CA-02,-466841.7
CA DEPT OF REHABILITATION,2021,CA-07,0.0
"R.M. WAITE CO., LLC",2021,CA-10,54933.12
AMA DIVERSIFIED CONSTRUCTION GROUP,2021,CA-02,17020.32
"BRAGG INVESTMENT COMPANY, INC.",2021,CA-44,0.0
HALL BRIAN,2021,CA-49,26712.29
"DURA BRANDS, INC.",2021,CA-30,0.0
"RQ CONSTRUCTION, LLC",2021,CA-49,148148.0
"MACHINA COGNITA TECHNOLOGIES, INC.",2021,CA-50,111450.66
CERTIFIED STAINLESS SERVICE INC.,2021,CA-13,0.0
"BEARING INSPECTION, INC.",2021,CA-45,0.0
WILLIAMS AEROSPACE & MANUFACTURING INC,2021,CA-26,0.0
SOFWARE LLC,2021,CA-49,27590.0
"BECTON, DICKINSON AND COMPANY",2021,CA-17,12810.0
ADVANCED TEST EQUIPMENT CORPORATION,2021,CA-50,34510.66
NEWVAC LLC,2021,CA-32,0.0
MELGAR FACILITY MAINTENANCE LLC,2021,CA-19,0.0
LINQUEST CORPORATION,2021,CA-37,0.0
FASTENING SYSTEMS INTERNATIONAL,2021,CA-04,0.0
MERCURY GSE,2021,CA-38,501000.0
UNITED PARADYNE CORP,2021,CA-24,0.0
"PICKERING LABORATORIES, INC.",2021,CA-16,16701.0
HEFFLER CONTRACTING GROUP,2021,CA-51,0.0
B & H INTERNATIONAL LLC,2021,CA-20,0.0
B & H INTERNATIONAL LLC,2021,CA-20,45227.52
I-TECH COMPANY LTD LIABILITY CO,2021,CA-17,103209.0
"DYNAMIK, INC.",2021,CA-50,23296.53
"SAFRAN ELECTRICAL COMPONENTS USA, INC",2021,CA-02,0.0
"PAULI SYSTEMS, INC.",2021,CA-08,0.0
RAYTHEON COMPANY,2021,CA-36,-802000.0
"GENOMIC HEALTH, INC.",2021,CA-15,0.0
"BECKMAN COULTER, INC",2021,CA-40,15305.4
VIRTUALITICS INC,2021,CA-28,1770589.0
LOCKHEED MARTIN CORPORATION,2021,CA-27,0.0
"TETRAD SERVICES, INC.",2021,CA-01,-356171.19
"HSQ TECH, INC.",2021,CA-14,31692.0
"FORTUNA BUSINESS MANAGEMENT CONSULTING, INC.",2021,CA-06,0.0
BLACK GOLD INDUSTRIES,2021,CA-26,125513.96
"ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS, INC.",2021,CA-50,0.0
"NGD SYSTEMS, INC.",2021,CA-47,0.0
MANTIS COMPOSITES INC,2021,CA-24,149881.0
ACELLENT TECHNOLOGIES INC,2021,CA-17,149999.0
SOFWARE LLC,2021,CA-49,49932.0
MCP COMPUTER PRODUCTS INC,2021,CA-50,8316.11
PARKER-HANNIFIN CORPORATION,2021,CA-47,0.0
"ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS, INC.",2021,CA-50,13912.5
"KARAGOZIAN & CASE, INC.",2021,CA-30,749982.0
JONES AND COMPANY PROFESSIONAL CORPORATION,2021,CA-34,-500.0
THE BOEING COMPANY,2021,CA-47,-50506.12
VIASAT INC,2021,CA-49,0.0
LOCKHEED MARTIN CORP,2021,CA-17,-4843419.12
FREEDOM PHOTONICS LLC,2021,CA-24,1499991.0
COMPONENT SOURCING GROUP,2021,CA-47,94.05
M&A GLOBAL CARTRIDGES LLC,2021,CA-34,156.22
NEW CENTURY TECHNOLOGIES INC.,2021,CA-50,2049.59
"SANTA BARBARA INFRARED, INC.",2021,CA-24,0.0
"CARACAL ENTERPRISES, LLC",2021,CA-02,69395.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2021,CA-36,114796500.0
"SPACE INFORMATION LABORATORIES, INC.",2021,CA-24,312740.0
AXXERA INC.,2021,CA-47,-9729.16
"DILTEX, INC.",2021,CA-31,18345.6
RAYTHEON COMPANY,2021,CA-36,0.0
88SOLUTIONS CORP,2021,CA-51,291500.0
"LIFEWARD CA, INC.",2021,CA-17,49411.9
"VALENCE SYSTEMS AND TECHNOLOGY, INC.",2021,CA-42,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2021,CA-31,0.0
PARSONS GOVERNMENT SERVICES INC.,2021,CA-28,-2000000.0
PACIFIC BELL TELEPHONE COMPANY,2021,CA-50,-2.7
"BAKER COMMODITIES, INC",2021,CA-42,24885.0
"MTAC GROUP, LLC",2021,CA-30,-15453.82
"CACI PHOTONICS, LLC",2021,CA-16,0.0
