recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
MESA INTERNATIONAL TECHNOLOGIES INC,2023,CA-46,0.0
"PACIFIC SHIP REPAIR & FABRICATION, INC.",2023,CA-52,-91330.0
"KIRKHILL, INC.",2023,CA-40,268921.8
MASON ELECTRIC CO.,2023,CA-29,66436.0
HARTWELL CORPORATION,2023,CA-45,91.83
HARTWELL CORPORATION,2023,CA-45,8912.48
EMPIRICAL SYSTEMS AEROSPACE INC,2023,CA-24,402415.0
BIO RAD LABORATORIES INC,2023,CA-08,0.0
VISION PRODUCTS LLC,2023,CA-16,0.0
TINA R ARREOLA,2023,CA-19,201160.0
ATWOOD HAY INCORPORATED,2023,CA-03,131314.0
"LOTUSUSA, INC.",2023,CA-34,12637.47
LINQUEST CORPORATION,2023,CA-37,0.0
"CYPHER ANALYTICS, INC.",2023,CA-50,0.0
"TEICHERT-ODIN, A JOINT VENTURE",2023,CA-06,18811.82
AMERICAN CLASSIC CONSTRUCTION INC.,2023,CA-32,24996.0
SAN BERNARDINO COUNTY,2023,CA-33,11218.56
COUNTY OF TULARE,2023,CA-21,62607.52
RAM LABORATORIES,2023,CA-51,587764.54
APSI CONSTRUCTION MANAGEMENT,2023,CA-47,0.0
MATHER BROS INC,2023,CA-27,0.0
"AVIATE ENTERPRISES, INC.",2023,CA-06,0.0
JACMEALS L.L.C.,2023,CA-49,22000.0
"CONSERVATION SCIENCE PARTNERS, INC.",2023,CA-04,377451.0
TS GOVERNMENT SOLUTIONS. LLC,2023,CA-41,9995.0
"AVIATE ENTERPRISES, INC.",2023,CA-06,80607.59
MALONEY-ODIN JV,2023,CA-02,0.0
R.J. MFG.,2023,CA-13,40718.0
CREAFORM USA INC,2023,CA-47,9640.0
JACOBS GOVERNMENT SERVICES COMPANY,2023,CA-28,0.0
RAYMOND HANDLING CONCEPTS CORP,2023,CA-17,4200.0
MCCULLOUGH CONSTRUCTION INC.,2023,CA-02,1177.0
"S. J. AMOROSO CONSTRUCTION CO., LLC",2023,CA-15,197700.0
"AECOM TECHNICAL SERVICES, INC.",2023,CA-34,0.0
COX CONSTRUCTION CO,2023,CA-49,4819.85
PRIDE INDUSTRIES,2023,CA-03,3784498.68
LINQUEST CORPORATION,2023,CA-37,0.0
"S. J. AMOROSO CONSTRUCTION CO., LLC",2023,CA-15,296048.0
"ETRAC, A WOOLPERT COMPANY",2023,CA-02,0.0
"ENGENSE, INC.",2023,CA-26,0.0
"NEW TECH SOLUTIONS, INC.",2023,CA-17,16091.66
"SPECIALIZED GOVERNMENT SOURCING, INC.",2023,CA-40,0.0
MICROSEMI FREQUENCY AND TIME CORP,2023,CA-17,24765.02
MALONEY-ODIN JV,2023,CA-02,0.0
PTSI MANAGED SERVICES INC,2023,CA-28,130000.0
SHIELD AI INC,2023,CA-50,0.0
"KISTERS NORTH AMERICA, INC.",2023,CA-03,28738.0
SKANSKA USA CIVIL WEST CALIFORNIA DISTRICT INC.,2023,CA-39,48155.0
NATIONAL SOLUTIONS WEST LLC,2023,CA-27,51300.0
IOTAI INC,2023,CA-17,179938.0
ASTROPHYSICS INC,2023,CA-38,10512.0
UNICOM SYSTEMS INC,2023,CA-29,174507.0
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",2023,CA-35,67289.94
"CUBIC DEFENSE APPLICATIONS, INC.",2023,CA-51,0.0
