recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"YOCKE, MARK",2003,CA-02,79900.0
LOCKHEED MARTIN CORPORATION,2003,CA-27,1006428.0
LOCKHEED MARTIN CORPORATION,2003,CA-27,23704.0
"L-3 SERVICES, INC.",2003,CA-90,81328.0
RAYTHEON COMPANY,2003,CA-36,200000.0
LOCKHEED MARTIN CORPORATION,2003,CA-90,45700.0
SIERRACIN CORPORATION,2003,CA-29,78000.0
"COSMODYNE, LLC",2003,CA-90,89708.0
BAE SYSTEMS NATIONAL SECURITY SOLUTIONS INC.,2003,CA-50,0.0
THE BOEING COMPANY,2003,CA-47,4361972.0
SIEMENS HEALTHCARE DIAGNOSTICS INC.,2003,CA-90,81521.0
"LEIDOS, INC.",2003,CA-90,754.0
"CAMELBAK PRODUCTS, LLC",2003,CA-02,31380.0
AIRLINK NETWORK CORPORATION,2003,CA-38,-4920.0
AAR MANUFACTURING INCORPORATED,2003,CA-06,1132.0
FURNITURE BY THURSTON,2003,CA-03,29175.0
"ICF ENVIRONMENTAL, INC.",2003,CA-90,152671.0
"LEIDOS, INC.",2003,CA-90,499743.0
"CAREFUSION SOLUTIONS, LLC",2003,CA-90,-2070.0
"AGILENT TECHNOLOGIES, INC.",2003,CA-17,3276.0
"TREASURY FRANCHISE FUND, US",2003,CA-90,43756.0
"BECKMAN COULTER, INC",2003,CA-90,0.0
"MITSUBISHI DIGITAL ELECTRONICS AMERICA, INC.",2003,CA-47,451.0
CANDLE CORPORATION,2003,CA-36,97028.0
CAL INC.,2003,CA-04,55199.0
MARSH COMMUNICATION SERVICES INC,2003,CA-90,16871.0
"LEIDOS, INC.",2003,CA-90,6425.0
"3D SYSTEMS, INC.",2003,CA-90,73456.0
AVATIER CORPORATION,2003,CA-10,4190.0
KARL STORZ ENDOSCOPY-AMERICA INC,2003,CA-90,107842.0
"AGILE COMMUNICATIONS, INC.",2003,CA-90,30000.0
ENGILITY LLC,2003,CA-50,169394.0
BLUE TECH INC.,2003,CA-50,22557.0
"SAFETY STORAGE, INC",2003,CA-18,38746.0
DELTA SCIENTIFIC CORPORATION,2003,CA-27,67668.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2003,CA-23,5771.0
"HEART RATE, INC.",2003,CA-47,38030.0
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2003,CA-36,-46771.0
"B D SYSTEMS, INC.",2003,CA-90,450000.0
"LEIDOS, INC.",2003,CA-90,85000.0
SELECT PERSONNEL SERVICES,2003,CA-24,47818.0
"LEIDOS, INC.",2003,CA-90,70792.48
SANDRA DOBRILOVIC,2003,CA-47,12650.0
CANOGA PERKINS CORP,2003,CA-32,26364.0
SIEMENS HEALTHCARE DIAGNOSTICS INC.,2003,CA-90,-23200.0
"CAREFUSION SOLUTIONS, LLC",2003,CA-90,25507.0
"SAN DIEGO PERSONNEL & EMPLOYMENT AGENCY, INC.",2003,CA-90,35501.0
COMMERCIAL & MARINE PRODUCTS CORP,2003,CA-90,5560.0
"GOVPLACE, LLC",2003,CA-24,89989.0
"AQUALUNG USA, INC",2003,CA-49,22860.0
"LEIDOS, INC.",2003,CA-90,0.0
WENZLAU ENGINEERING INC,2003,CA-28,111040.0
"AGILENT TECHNOLOGIES, INC.",2003,CA-17,37062.0
"LEIDOS, INC.",2003,CA-90,59613.0
TCI CABLEVISION OF CALIFORNIA,2003,CA-90,6766.0
"HEALTH NET FEDERAL SERVICES, LLC",2003,CA-90,158716.0
ARETE ASSOCIATES,2003,CA-32,100000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-90,56318.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-52,180000.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2003,CA-90,-1058.0
"SYSTEM ONE BUSINESS PRODUCTS, INC.",2003,CA-46,26290.0
"VMI, INC",2003,CA-90,5256.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-90,-101386.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2003,CA-90,24772.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2003,CA-90,2654.0
SIERRA GROUP LLC,2003,CA-90,24090.0
"ARTMOXM, INC.",2003,CA-36,39295.0
"INFORMATION SYSTEMS PROFESSIONALS, INC",2003,CA-26,26750.0
SRI INTERNATIONAL,2003,CA-90,531000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-52,150715.0
"LEIDOS, INC.",2003,CA-90,4619948.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2003,CA-90,-112.0
MYOU VIDEO CORPORATION,2003,CA-90,11088.0
BAE SYSTEMS LAND & ARMAMENTS L.P.,2003,CA-17,5941928.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-52,37792.0
"BAE SYSTEMS MARITIME ENGINEERING & SERVICES, INC.",2003,CA-90,302565.0
"BAE SYSTEMS MARITIME ENGINEERING & SERVICES, INC.",2003,CA-90,43166.0
ERS SOLUTIONS INC,2003,CA-90,40197.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-52,3400.0
"MICROSOURCE, INC.",2003,CA-04,75000.0
RAYTHEON COMPANY,2003,CA-36,142688.0
INDUS TECHNOLOGY INC,2003,CA-90,100000.0
MAXIM SYSTEMS INC,2003,CA-90,55242.0
"LITTON SYSTEMS, INC",2003,CA-90,47732.0
"AEROVIRONMENT, INC.",2003,CA-31,0.0
"LIFT-IT MANUFACTURING CO., INC.",2003,CA-90,63947.0
SPECTRAL DYNAMICS INC,2003,CA-90,13487.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-90,17985.0
"NOVARTIS VACCINES AND DIAGNOSTICS, INC.",2003,CA-12,58000.0
"TECHEXCEL, INC",2003,CA-10,30274.0
"MANPOWER, INC./CALIFORNIA PENINSULA",2003,CA-16,3335.0
"WESTAIR GASES & EQUIPMENT, INC.",2003,CA-90,2880.0
"JOHNSONDIVERSEY, INC",2003,CA-51,6804.0
"DIGITEC BUSINESS SYSTEMS, INC",2003,CA-51,10785.0
SECURITY SHRED & SERVICE COMPANY,2003,CA-40,3200.0
THE CARPENTER GROUP,2003,CA-52,7650.0
EATON CORPORATION,2003,CA-46,9704.0
"A&J FORKLIFT, INC",2003,CA-49,2100.0
THE CARPENTER GROUP,2003,CA-52,13290.0
BAE SYSTEMS INERTIAL PRODUCTS,2003,CA-26,603000.0
"AP LABS, INC.",2003,CA-90,99990.0
L3HARRIS INTERSTATE ELECTRONICS CORPORATION,2003,CA-46,95825.0
"TOMAN, STEVEN D",2003,CA-90,137032.0
CLARK'S TV & APPLIANCE INC,2003,CA-52,65.0
"LOVELL, NANCY PHD",2003,CA-49,7727.0
"FLS WAREHOUSE & DISTRIBUTION,",2003,CA-44,3600.0
JULIA WALROND,2003,CA-90,11963.0
VALIMET INC,2003,CA-09,7140.0
CAL CRANE & EQUIPMENT INC.,2003,CA-90,23387.0
"T.B.F. INVESTMENTS, INC",2003,CA-50,6064.0
"QTC MANAGEMENT, INC.",2003,CA-38,25000.0
TELESTAR INTERNATIONAL CORP.,2003,CA-35,31878.0
"COORDINATED WIRE ROPE OF SAN DIEGO, INC.",2003,CA-52,6308.0
"F A SYSTEMS, INC.",2003,CA-90,6305.0
AIR QUALITY TEAM,2003,CA-51,1772.0
GREENTOES G R P & COATINGS INC,2003,CA-52,5050.0
"VALLEY POWER SYSTEMS, INC.",2003,CA-38,9543.0
CENTURY DYNAMICS INC,2003,CA-10,7348.0
"OECO, LLC",2003,CA-24,0.0
"BUCKLEY, MICHAEL",2003,CA-90,2990.0
PACIFIC GAS AND ELECTRIC COMPANY,2003,CA-90,94.0
"TECHNOMICS, INC.",2003,CA-24,207457.0
CORPORATE EXPRESS US INC.,2003,CA-48,12879.0
HUGHES GLOBAL SERVICES INC,2003,CA-36,577540.0
PARSONS GOVERNMENT SERVICES INC,2003,CA-40,397869.0
THE LELAND STANFORD JUNIOR UNIVERSITY,2003,CA-18,60000.0
NEILL AIRCRAFT CO.,2003,CA-42,27716.0
MILLER MARINE,2003,CA-52,15000.0
MEGGITT AIRDYNAMICS INCORPORATED,2003,CA-41,212560.0
"STOTTLER HENKE ASSOCIATES, INC",2003,CA-15,174855.0
GENERAL DYNAMICS GOVERNMENT SY,2003,CA-16,71606.0
"PATRICIA I. ROMERO, INC.",2003,CA-90,8659.0
"DIAMOND RESOURCES, INC.",2003,CA-90,50000.0
PARKER-HANNIFIN CORPORATION,2003,CA-90,30938.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,2003,CA-90,740457.0
"VIDEOTAPE PRODUCTS, INC.",2003,CA-30,35487.0
"MWH AMERICAS, INC.",2003,CA-28,499998.0
"RMA LAND CONSTRUCTION, INC",2003,CA-45,841884.0
UNIVERSITY OF CALIFORNIA SANTA CRUZ,2003,CA-19,2103000.0
PROPULSION CONTROLS ENGINEERING,2003,CA-52,33695.0
"PHILLIPS NATIONAL, INC",2003,CA-49,-204666.0
TYCO ELECTRONICS CORPORATION,2003,CA-16,95700.0
EATON AEROSPACE LLC,2003,CA-90,92800.0
KIRKHILL-TA CO.,2003,CA-90,0.0
GENERAL ATOMICS,2003,CA-90,1499000.0
WESTERN MAINTENANCE LLC,2003,CA-48,10444.0
SANDRA GHARABAGHLI,2003,CA-90,73080.0
UNITED STATES FILTER CORPORATION,2003,CA-48,5625.0
RBC TRANSPORT DYNAMICS CORP,2003,CA-46,57553.0
HOWMET GLOBAL FASTENING SYSTEMS INC,2003,CA-26,0.0
"BRISTOL INDUSTRIES, LLC",2003,CA-90,56200.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,2003,CA-90,1818998.0
AIR & GAS TECH INC,2003,CA-90,1200.0
DK MANUFACTURING LLC,2003,CA-42,112250.0
"ONTIC ENGINEERING & MANUFACTURING, INC",2003,CA-32,0.0
SIERRACINSYLMAR CORPORATION,2003,CA-29,19200.0
MDF TECHNOLOGIES INC,2003,CA-49,78900.0
COMMUNICATIONS & POWER INDUSTRIES LLC,2003,CA-15,40040.0
"LEIDOS, INC.",2003,CA-90,477769.0
"LEIDOS, INC.",2003,CA-90,197000.0
"R.M. WAITE CO., LLC",2003,CA-12,46891.0
"DCX-CHOL ENTERPRISES, INC.",2003,CA-90,31000.0
"LOGISTICAL SUPPORT, LLC",2003,CA-32,0.0
"R D Y SALES, INC",2003,CA-24,275409.0
"EVOLVING RESOURCES, INC.",2003,CA-26,50000.0
"MCM ENGINEERING, INC",2003,CA-15,54336.0
"AVLITE AVIATION, INC.",2003,CA-19,28800.0
SENIOR OPERATIONS LLC,2003,CA-30,0.0
ITT FLUID TECHNOLOGY CORP,2003,CA-27,0.0
"BRISTOL INDUSTRIES, LLC",2003,CA-90,47862.0
"ALBERTS PLUMBING, HEATING AND AIR CONDITIONING",2003,CA-50,2980.0
C. E. WYLIE CONSTRUCTION CO.,2003,CA-90,-5226.0
"PHOENIX CONSTRUCTION SERVICES, INC.",2003,CA-39,0.0
"ROCKWOOD GENERAL CONTRACTORS, INC.",2003,CA-24,923468.0
"LEIDOS, INC.",2003,CA-90,-600.0
"SOLPAC, INC.",2003,CA-90,68856.0
MISSION RESEARCH CORPORATION,2003,CA-24,13805.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",2003,CA-90,120000.0
"MARCON ENGINEERING, INC",2003,CA-90,22900.0
"MARVIN ENGINEERING CO, INC",2003,CA-43,37125.0
MEGGITT AIRDYNAMICS INCORPORATED,2003,CA-41,56424.0
PRECISION TECHNOLOGY AND MANUFACTURING INC,2003,CA-39,27442.0
ADVANCED CONCEPTS AND MISSION SYSTEMS,2003,CA-06,1882023.0
MISSION RESEARCH CORPORATION,2003,CA-24,50000.0
AARDVARK,2003,CA-31,1177375.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2003,CA-36,216000.0
M.S. AEROSPACE INC.,2003,CA-29,35136.0
FOUNDRY NETWORKS INC,2003,CA-90,70.0
ALL CITIES ENTERPRISES,2003,CA-35,24000.0
AEROJET ROCKETDYNE INC,2003,CA-06,25000.0
"TELEMETRY & COMMUNICATIONS SYSTEMS, INC.",2003,CA-32,331550.0
EVERYTHING WIRELESS LLC,2003,CA-36,5440.0
"AMERICAN AUTOMATED ENGINEERING, INC.",2003,CA-47,51230.0
NEAL'S JANITORIAL SERVICE,2003,CA-90,174033.0
GILBANE FEDERAL,2003,CA-10,86459.0
"NOVA DREDGING, LLC",2003,CA-04,100000.0
GEN-PROBE INCORPORATED,2003,CA-90,25000.0
GEN-PROBE INCORPORATED,2003,CA-90,36879.0
ANDREW WODECKI,2003,CA-90,74259.0
GILBANE FEDERAL,2003,CA-10,833378.0
"NAVCOM DEFENSE ELECTRONICS, INC.",2003,CA-31,0.0
LOCKHEED MARTIN CORPORATION,2003,CA-24,98500.0
HYDRA-ELECTRIC COMPANY,2003,CA-30,97636.0
PARKER-HANNIFIN CORPORATION,2003,CA-47,0.0
"RHINE AIR, INC",2003,CA-48,28830.0
PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA LLC),2003,CA-18,42718.0
KITSAP COMPOSITES INC,2003,CA-40,34384.0
EDO COMMUNICATIONS AND COUNTERMEASURES SYSTEMS INC.,2003,CA-26,556000.0
"DRS HADLAND, INC.",2003,CA-17,351645.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2003,CA-31,200000.0
"LEIDOS, INC.",2003,CA-90,432375.0
ACCELRYS,2003,CA-90,5558.0
BUENA VISTA NON-THEATRICAL INC,2003,CA-30,2154.0
BURHAN AGENCIES LLC,2003,CA-90,11889.0
"RESTAURANT DESIGN INTERNATIONAL, INC.",2003,CA-90,23112.0
WORLD SERVICE WEST/L.A. INFLIGHT SERVICE CO LLC,2003,CA-23,2775.0
"RITZ INTERACTIVE, INC.",2003,CA-47,3372.0
