recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
GOOD-WEST RUBBER CORP,SAN BERNARDINO,2017,CA-35,6825.0
"COMPRESSED AIR SPECIALTIES, INC.",ORANGE,2017,CA-46,100837.0
STONEFLY INC,ALAMEDA,2017,CA-14,0.0
XL INTERNATIONAL CORP,SAN DIEGO,2017,CA-49,21310.7
VACCO INDUSTRIES,LOS ANGELES,2017,CA-31,99750.0
"VECTOR TEST SYSTEMS, INC.",VENTURA,2017,CA-26,38952.66
"WOODWARD HRT, INC.",LOS ANGELES,2017,CA-31,0.0
TAVCO INC.,LOS ANGELES,2017,CA-32,90600.0
GENTEX CORP,SAN BERNARDINO,2017,CA-35,0.0
AMERICAN METAL BEARING CO,ORANGE,2017,CA-45,125404.23
NICK RAIL MUSIC INC.,SANTA BARBARA,2017,CA-24,5762.85
"PALOMAR PRODUCTS, INC.",ORANGE,2017,CA-40,19276.0
"AMTRON TECHNOLOGY, INC",LOS ANGELES,2017,CA-28,56943.0
SUITE THINKING INC,ORANGE,2017,CA-47,7054.65
KINEMETRICS INC,LOS ANGELES,2017,CA-28,4415.0
ADVATECH PACIFIC INC,SAN BERNARDINO,2017,CA-33,53421.56
"OPTOVUE, INC.",ALAMEDA,2017,CA-17,0.0
SYSTEMS APPLICATION & TECHNOLOGIES INC,VENTURA,2017,CA-26,400000.0
CORONADO BUSINESS SUPPLIES,SAN DIEGO,2017,CA-50,8004.96
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2017,CA-48,1500000.0
"MEGGITT DEFENSE SYSTEMS, INC.",ORANGE,2017,CA-47,320960.0
"KEESEY, SHEA CANDACE",CALAVERAS,2017,CA-05,-8401.55
NOR CAL ENVIRONMENTAL SOLUTIONS INC,GLENN,2017,CA-01,21300.0
GROUND CONTROL SYSTEMS,SAN LUIS OBISPO,2017,CA-19,6226.35
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",SACRAMENTO,2017,CA-07,-4900.0
PHYSICAL OPTICS CORPORATION,LOS ANGELES,2017,CA-43,536655.32
"PATTERSON TABER GENERAL ENGINEERING, INC.",YUBA,2017,CA-01,-2075.0
"DYNAMIK, INC.",SAN DIEGO,2017,CA-50,1605.0
AHTNA DESIGN-BUILD INC,ORANGE,2017,CA-47,-44713.1
BIO RAD LABORATORIES INC,CONTRA COSTA,2017,CA-08,0.0
"NUVASIVE, INC",SAN DIEGO,2017,CA-50,42452.0
"WIND RIVER SYSTEMS, INC.",ALAMEDA,2017,CA-12,0.0
LIFE TECHNOLOGIES CORPORATION,SAN DIEGO,2017,CA-49,0.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2017,CA-15,6180.0
"RNK INTERNATIONAL, INC.",ORANGE,2017,CA-47,10848.99
"AEROVIRONMENT, INC.",LOS ANGELES,2017,CA-31,0.0
BLUE TECH INC.,SAN DIEGO,2017,CA-50,10447.71
"INNOVATIVE FEDERAL OPERATIONS GROUP, INCORPORATED",SAN DIEGO,2017,CA-49,3897.36
LOCKHEED MISSILES & SPACE COMP,SANTA CLARA,2017,CA-17,24677945.0
THE BOEING COMPANY,LOS ANGELES,2017,CA-44,0.0
CRU CASPER LLC,ORANGE,2017,CA-47,7371.0
"MCINTYRE, ARLENE",MENDOCINO,2017,CA-02,46400.0
"CALIFORNIA REFORESTATION, INC.",TUOLUMNE,2017,CA-05,29805.0
"LYNDA.COM, INC.",SANTA BARBARA,2017,CA-24,0.0
DIVINE IMAGING INC.,LOS ANGELES,2017,CA-32,15750.0
"DONG, XIANGXIAO",SAN DIEGO,2017,CA-51,0.0
GOODWILL INDUSTRIES OF SOUTHERN CALIFORNIA,LOS ANGELES,2017,CA-34,910132.27
"OMNI CONSULTING SOLUTIONS, INC.",LOS ANGELES,2017,CA-36,0.0
"STRYKER SALES, LLC",SANTA CLARA,2017,CA-19,-20000.0
"SYNOPSYS, INC.",SANTA CLARA,2017,CA-16,0.0
"GRANLIBAKKEN MANAGEMENT COMPANY, LTD",PLACER,2017,CA-03,0.0
"MJ AVILA COMPANY, INC.",FRESNO,2017,CA-21,7110.0
NEWPOINT MANAGEMENT LLC,LOS ANGELES,2017,CA-31,0.0
UNITED PARADYNE CORP,SANTA BARBARA,2017,CA-24,43049.79
ALLAN SAN DIEGO,SACRAMENTO,2017,CA-07,6239.84
ASTERES INC,SAN DIEGO,2017,CA-51,7716.0
"CENTRAL ADMIXTURE PHARMACY SERVICES, INC",ORANGE,2017,CA-47,2599.77
PRIDE INDUSTRIES,PLACER,2017,CA-03,0.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,LOS ANGELES,2017,CA-36,18736.0
PEDROZA DEBBY,ORANGE,2017,CA-46,1160.0
LN CURTIS & SONS,ALAMEDA,2017,CA-12,106944.0
"E. M. OIL TRANSPORT, INC.",LOS ANGELES,2017,CA-38,0.0
"ETHICON, INC",ORANGE,2017,CA-47,0.0
MENTOR WORLDWIDE LLC,ORANGE,2017,CA-47,0.0
"WESTNET, LLC",ORANGE,2017,CA-47,37750.0
AUGUSTINE CONSULTING INC,MONTEREY,2017,CA-19,473131.36
ASTERES INC,SAN DIEGO,2017,CA-51,0.0
"DATA DEVICES INTERNATIONAL, INCORPORATED",LOS ANGELES,2017,CA-28,16758.0
GCX CORP,SONOMA,2017,CA-02,4515.0
GRIFOLS DIAGNOSTIC SOLUTIONS INC.,ALAMEDA,2017,CA-12,0.0
LIFE TECHNOLOGIES CORPORATION,SAN DIEGO,2017,CA-49,70205.04
"INFINITE TECHNOLOGIES, INC.",SACRAMENTO,2017,CA-03,1923130.0
LINKEDIN CORPORATION,SANTA CLARA,2017,CA-16,5100.0
"BLACKSTONE CONSULTING, INC",LOS ANGELES,2017,CA-32,0.0
"VARIAN MEDICAL SYSTEMS, INC.",SANTA CLARA,2017,CA-17,0.0
"BIO-RAD LABORATORIES, INC.",CONTRA COSTA,2017,CA-08,-66456.0
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2017,CA-47,0.0
JOHNSON CONTROLS FIRE PROTECTION LP,SACRAMENTO,2017,CA-06,1773.34
ELEVATOR INDUSTRIES INC,SACRAMENTO,2017,CA-06,0.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2017,CA-15,-79789.31
NGAP INC,SAN DIEGO,2017,CA-48,7038.0
"Z + A SERVICES GROUP, INC.",VENTURA,2017,CA-26,0.0
"IRONCOMPANY.COM, LLC",SAN BERNARDINO,2017,CA-33,13508.9
"CAREFUSION SOLUTIONS, LLC",SAN DIEGO,2017,CA-50,16673.74
"JAV, INC.",SANTA BARBARA,2017,CA-24,1276.8
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2017,CA-47,7200.0
"STERLING FABRICATING EQUIPMENT, INC.",LOS ANGELES,2017,CA-31,41390.75
"SENSOR CONCEPTS, LLC",ALAMEDA,2017,CA-14,0.0
"BLACKSTONE CONSULTING, INC",LOS ANGELES,2017,CA-32,0.0
