recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"AIR SHUNT INSTRUMENTS, INC.",LOS ANGELES,2026,CA-32,10750.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,570.14
ELCONN INDUSTRIES INC.,ORANGE,2026,CA-40,502332.6
WHITE AERO INC,LOS ANGELES,2026,CA-27,478.33
PACIFIC COAST SALES LLC,LOS ANGELES,2026,CA-26,7611.12
"COASTAL PACIFIC FOOD DISTRIBUTORS, INC.",SAN JOAQUIN,2026,CA-09,315.05
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,4391.03
RENAU CORPORATION,LOS ANGELES,2026,CA-32,26046.32
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,1089.55
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,653.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,167.21
US FOODS INC,LOS ANGELES,2026,CA-38,7318.82
IMPERIAL FLYING SERVICE INC,IMPERIAL,2026,CA-25,1017.71
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,320.36
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,5763.86
"US FOODS, INC",ALAMEDA,2026,CA-14,5046.88
M&B ASSEMBLY CORP,LOS ANGELES,2026,CA-43,-21600.0
GENERAL ATOMICS,SAN DIEGO,2026,CA-50,0.0
"USFI, INC.",LOS ANGELES,2026,CA-44,61.38
GIDEON CONTRACTING LLC,SAN LUIS OBISPO,2026,CA-24,0.0
"ZYRIS, INC.",SANTA BARBARA,2026,CA-24,113.5
US FOODS INC,LOS ANGELES,2026,CA-38,2223.19
"COASTAL PACIFIC FOOD DISTRIBUTORS, INC.",SAN JOAQUIN,2026,CA-09,389.44
ALAMEX INC,SAN JOAQUIN,2026,CA-09,29000.0
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,8268.46
BLACK GOLD INDUSTRIES,VENTURA,2026,CA-26,0.0
"HOLLANDIA DAIRY, INC",SAN DIEGO,2026,CA-50,578.75
PCX INC,ORANGE,2026,CA-47,100.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,3040.0
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,1145.51
US FOODS INC,LOS ANGELES,2026,CA-38,45308.34
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,273.27
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,340.17
SOLUTE,SAN DIEGO,2026,CA-51,0.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,400.43
"PELICAN PRODUCTS, INC.",LOS ANGELES,2026,CA-36,3611.55
WING AEROSPACE TECHNOLOGIES LLC,ALAMEDA,2026,CA-17,565.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,LOS ANGELES,2026,CA-36,0.0
INFINITY PRECISION INC,VENTURA,2026,CA-26,0.0
"AEROMETALS, INC.",EL DORADO,2026,CA-05,0.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,676.07
"COASTAL PACIFIC FOOD DISTRIBUTORS, INC.",SAN JOAQUIN,2026,CA-09,4177.16
CAMBRO MANUFACTURING COMPANY,ORANGE,2026,CA-47,57380.4
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,326.92
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,798.27
"ISMILE DENTAL PRODUCTS, INC.",SACRAMENTO,2026,CA-06,168.6
"HOLLANDIA DAIRY, INC",SAN DIEGO,2026,CA-50,395.23
"USFI, INC.",LOS ANGELES,2026,CA-44,1800.67
"S & B, INC.",LOS ANGELES,2026,CA-27,0.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,402.77
US FOODS INC,LOS ANGELES,2026,CA-38,5330.82
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,1629.96
NORTHSTAR DISTRIBUTORS INC.,SAN DIEGO,2026,CA-50,4383.23
TECHNIC SPHERE,ORANGE,2026,CA-46,0.0
JKOZ ENGINEERING INC,RIVERSIDE,2026,CA-48,-10763.42
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,520.12
"ARIZONA AERO FASTENERS, INC",VENTURA,2026,CA-26,8525.5
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2026,CA-52,-41272.0
US FOODS INC,LOS ANGELES,2026,CA-38,84.46
MASON ELECTRIC CO.,LOS ANGELES,2026,CA-29,5192.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,LOS ANGELES,2026,CA-32,0.0
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,801.34
US FOODS INC,LOS ANGELES,2026,CA-38,5354.32
"CARACAL ENTERPRISES, LLC",SONOMA,2026,CA-02,15015.0
US FOODS INC,LOS ANGELES,2026,CA-38,202.72
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,589.35
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,1250.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,689.05
"MEG TECHNOLOGIES, INC.",ORANGE,2026,CA-47,0.0
IMPERIAL FLYING SERVICE INC,IMPERIAL,2026,CA-25,394.07
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,344.97
"MIL COMPONENTS, LLC",SAN DIEGO,2026,CA-50,1063.59
THE BOEING COMPANY,LOS ANGELES,2026,CA-42,-80.96
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,446.3
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,2587.8
GENERAL DYNAMICS MOTION CONTROL LLC,SAN DIEGO,2026,CA-52,335925.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,261.81
DEFENSE & AEROSPACE MANUFACTURING LLC,SACRAMENTO,2026,CA-06,0.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,2396.78
US FOODS INC,LOS ANGELES,2026,CA-38,13050.61
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,595.18
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,302.35
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,289.6
"TECOLOTE RESEARCH, INC.",SANTA BARBARA,2026,CA-24,746659.25
"MIL COMPONENTS, LLC",SAN DIEGO,2026,CA-50,211.69
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,844.9
"MERRIMAC PETROLEUM, INC",LOS ANGELES,2026,CA-42,17170.29
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,1028.69
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,503.0
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,508.17
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,2498.53
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,9725.99
IOEI-EQM JV,SAN DIEGO,2026,CA-50,0.0
US FOODS INC,LOS ANGELES,2026,CA-38,259.4
"FREEMAN HOLDINGS OF CALIFORNIA, L.L.C",SAN BERNARDINO,2026,CA-23,707.74
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,299.56
IMPERIAL FLYING SERVICE INC,IMPERIAL,2026,CA-25,5141.3
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,239.9
"COASTAL PACIFIC FOOD DISTRIBUTORS, INC.",SAN JOAQUIN,2026,CA-09,13018.45
"CHICO PRODUCE, INC.",BUTTE,2026,CA-01,649.15
VANTAGE ASSOCIATES INC,ORANGE,2026,CA-47,-10914.0
"VAL-PRO, INC.",LOS ANGELES,2026,CA-37,21702.3
"S & B, INC.",LOS ANGELES,2026,CA-27,8799.0
PARKER-HANNIFIN CORPORATION,ORANGE,2026,CA-47,0.0
