recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
J&M ENVIRONMENTAL CONTROL GROUP,ORANGE,2008,CA-49,0.0
SATURN LANDSCAPE PLUS INC,,2008,CA-49,32728.0
"SANTA BARBARA APPLIED RESEARCH, INC.",,2008,CA-24,0.0
EVERYTHING WIRELESS LLC,,2008,CA-90,-4590.0
"GINT SOFTWARE, INCORPORATED",SONOMA,2008,CA-02,3456.0
IMPACT AUDIO VISUAL INC,LOS ANGELES,2008,CA-30,64690.0
"UNIVERSITY OF CALIFORNIA, DAVIS",,2008,CA-90,0.0
"HIGHRES, INC.",,2008,CA-50,0.0
VANGUARD CONSTRUCTION INC,,2008,CA-90,0.0
"APM, LLC",,2008,CA-90,0.0
"SALAS, TONYA",SOLANO,2008,CA-08,1390.0
"CAL-BAY SERVICE, INC.",SOLANO,2008,CA-08,10496.0
"KSC-TRI SYSTEMS USA, INC",,2008,CA-27,-4867.11
"NEW TECH SOLUTIONS, INC.",ALAMEDA,2008,CA-17,140384.0
INSTITUTE FOR THE FUTURE,,2008,CA-90,0.0
"IMPRES TECHNOLOGY SOLUTIONS, INC",LOS ANGELES,2008,CA-38,11336.0
CPR SAVERS & FIRST AID SUPPLY,SAN DIEGO,2008,CA-49,3835.0
WPU INC,,2008,CA-32,-7400.0
LIDOR CO,,2008,CA-90,0.0
"PC MECHANICAL, INC.",SANTA BARBARA,2008,CA-24,8818.0
"LEE AIR COMPANY, INC.",LOS ANGELES,2008,CA-29,6000.0
"BIO-RAD LABORATORIES, INC.",CONTRA COSTA,2008,CA-08,4707.0
"PAC-WEST RUBBER PRODUCTS, L.L.C",RIVERSIDE,2008,CA-41,2710.0
"MESOTECH INTERNATIONAL, INC.",SACRAMENTO,2008,CA-06,148560.0
"RED CLOUD, INC.",,2008,CA-12,-1000.0
"JONES AND JONES, INC.",LOS ANGELES,2008,CA-44,-14763.0
"VWR INTERNATIONAL, LLC",SAN MATEO,2008,CA-15,15683.45
"CP NORTH AMERICA, LLC",SAN DIEGO,2008,CA-51,13905.0
FRONTIER TECHNOLOGY INC,SANTA BARBARA,2008,CA-24,99975.0
"ELEPHANT AIRCRAFT, INC.",LOS ANGELES,2008,CA-29,825.0
"LEIDOS, INC.",,2008,CA-90,0.0
"CHINOOK LOGISTICS, INC.",LOS ANGELES,2008,CA-27,4350.0
"QORVO CALIFORNIA, INC.",VENTURA,2008,CA-26,4288.0
SALIENT FEDERAL-SGIS INC,,2008,CA-90,1689858.0
CANTIMER INCORPORATED,,2008,CA-90,250000.0
"IMPRES TECHNOLOGY SOLUTIONS, INC",LOS ANGELES,2008,CA-38,18510.0
"TORREY PINES LOGIC, INC.",SAN DIEGO,2008,CA-50,456784.0
"INTEGRATED DATA SERVICES, LLC",,2008,CA-36,211674.54
"INTEGRATED DATA SERVICES, LLC",,2008,CA-36,159253.28
SORA POWER INC.,,2008,CA-41,0.0
"BECKMAN COULTER, INC",ORANGE,2008,CA-40,33598.73
STANTEC CONSULTING SERVICES INC,RIVERSIDE,2008,CA-39,0.0
THE RAND CORPORATION,,2008,CA-36,977100.0
INTELLIGENT INTERNATIONAL INC.,,2008,CA-90,7618.0
LOCKHEED MARTIN CORPORATION,,2008,CA-27,0.0
"1105 MEDIA, INC.",LOS ANGELES,2008,CA-32,18035.0
COX CONSTRUCTION CO,SAN DIEGO,2008,CA-49,1796.0
CYTYC SURGICAL PRODUCTS,SANTA CLARA,2008,CA-16,3519.45
"AMG AIREPS, LLC",ORANGE,2008,CA-40,8744.0
"LEE AIR COMPANY, INC.",LOS ANGELES,2008,CA-29,11050.0
"GENERAL ATOMICS ELECTRONIC SYSTEMS, INC.",SAN DIEGO,2008,CA-51,85600.0
"DWG & ASSOCIATES, INC.",SANTA BARBARA,2008,CA-24,5972833.82
"COMPUTER 1 PRODUCTS OF AMERICA, INC.",LOS ANGELES,2008,CA-31,11445.0
HOWMET GLOBAL FASTENING SYSTEMS INC,,2008,CA-26,0.0
A & P BEARINGS INC,,2008,CA-32,-1500.0
FULL SPECTRUM ANALYTICS,ORANGE,2008,CA-46,25080.0
UNIVERSITY CORPORATION AT MONTEREY BAY,,2008,CA-19,0.0
"TEGRITY, INC.",SANTA CLARA,2008,CA-17,14995.0
THE BOEING COMPANY,,2008,CA-90,115260.0
INFORMATION SYSTEMS LABORATORIES INC,,2008,CA-90,274848.0
GENERAL ATOMICS,,2008,CA-90,0.0
"RAYTHEON APPLIED SIGNAL TECHNOLOGY, INC.",,2008,CA-17,0.0
OR CONCEPTS APPLIED,LOS ANGELES,2008,CA-38,375000.0
VIDENT,ORANGE,2008,CA-40,29875.0
HONEYWELL INTERNATIONAL INC.,,2008,CA-31,0.0
OPHTHALMIC IMAGING SYSTEMS,SACRAMENTO,2008,CA-06,54785.0
FRAZIER AVIATION INC,LOS ANGELES,2008,CA-29,3000.0
"TOSOH BIOSCIENCE, INC.",SAN MATEO,2008,CA-15,13580.0
KERR CORPORATION,ORANGE,2008,CA-46,6739.0
ROCKWELL COLLINS AEROSPACE & ELECTRONICS INC,,2008,CA-90,0.0
BEACHPORT CLEANERS,VENTURA,2008,CA-26,0.0
"COZAD TRAILER SALES, LLC",SAN JOAQUIN,2008,CA-09,387620.0
FASTENING SYSTEMS INTERNATIONAL,SONOMA,2008,CA-04,5469.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-90,33890137.0
"DEVINE CONSULTING, INC.",ALAMEDA,2008,CA-14,173021.0
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",,2008,CA-24,0.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,498108.0
PATZ MATERIALS AND TECHNOLOGIES LLC,,2008,CA-08,0.0
MULTIMEDIA GRAPHIC NETWORK,SAN DIEGO,2008,CA-49,7812.0
"GOVPLACE, LLC",,2008,CA-24,80866.76
"UNITEC SYSTEMS, INC",ORANGE,2008,CA-40,8778.96
"LEIDOS, INC.",SAN DIEGO,2008,CA-50,0.0
"LEIDOS, INC.",,2008,CA-90,1374145.0
"ENDOCARE, INC.",ORANGE,2008,CA-47,10000.0
"AMPLITUDE LASER, INC.",SANTA CLARA,2008,CA-17,79560.0
INTELLIGENT FIBER OPTIC SYSTEMS CORPORATION,SANTA CLARA,2008,CA-17,99855.0
"BEYONDTRUST SOFTWARE, INC.",,2008,CA-26,50642.48
COMPLETE COMPUTER CARE,LOS ANGELES,2008,CA-27,7308.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-36,300000.0
"CUBIC DEFENSE APPLICATIONS, INC.",,2008,CA-90,0.0
"FULTON, MICHAEL",,2008,CA-26,0.0
"LEIDOS, INC.",,2008,CA-90,32348.0
"LEIDOS, INC.",,2008,CA-90,529698.0
BPS SUPPLY GROUP,KERN,2008,CA-20,24587.0
PARSONS GOVERNMENT SERVICES INC,,2008,CA-40,7600000.0
APPLE INC,SANTA CLARA,2008,CA-17,12308.0
"TECHNICAL COMMUNITIES, INC.",,2008,CA-15,365.0
"BECKMAN COULTER, INC",ORANGE,2008,CA-40,0.0
SYNERGIA LLC,,2008,CA-15,100000.0
"LANCASTER MOVING AND STORAGE, INC.",,2008,CA-90,0.0
LOCKHEED MARTIN CORPORATION,,2008,CA-90,0.0
"PIEZO-METRICS, INC.",VENTURA,2008,CA-26,33400.0
"TETRA TECH EMC, INC.",,2008,CA-26,6179687.17
CARDINAL HEALTH 301 INCORPORATED,,2008,CA-90,0.0
"IRIS INTERNATIONAL, INC.",LOS ANGELES,2008,CA-32,27936.0
C M S CALIFORNIA MEDIA SERVICE,ORANGE,2008,CA-46,4854.0
AMRON INTERNATIONAL INC,,2008,CA-49,-10153.0
"TTI TECHNOLOGIES, LLC",,2008,CA-36,0.0
"KAP MANUFACTURING, INC.",LOS ANGELES,2008,CA-31,18650.0
"ASRC FEDERAL TECHNOLOGY SOLUTIONS, LLC",SAN DIEGO,2008,CA-49,35000.0
RNBS CORPORATION,ORANGE,2008,CA-46,507487.79
"ARCTURUS UAV, INC",,2008,CA-90,39790.0
"BAYLY NETWORKS, INC.",,2008,CA-12,5300.0
HOFFMAN TECHNOLOGIES INCORPORATED,,2008,CA-03,644.0
"SAFETY STORAGE, INC",SAN BENITO,2008,CA-18,28466.0
"NEW TECH SOLUTIONS, INC.",,2008,CA-90,4398.0
S4 SOFTWARE INC,SAN DIEGO,2008,CA-51,0.0
SRI INTERNATIONAL,,2008,CA-90,480000.0
ARGON OFFICE SUPPLIES,SAN FRANCISCO,2008,CA-11,10346.0
"LEIDOS, INC.",,2008,CA-90,0.0
"TETRA TECH EMC, INC.",,2008,CA-26,700.0
ACREE TECHNOLOGIES INCORPORATED,,2008,CA-10,0.0
NORTONLIFELOCK INC.,,2008,CA-17,7195.0
KJL-LETTS DESIGN INC,,2008,CA-51,18567.0
DIVING UNLIMITED INTERNATIONAL INC,,2008,CA-90,0.0
"JAV, INC.",SANTA BARBARA,2008,CA-24,13920.0
"LEIDOS, INC.",,2008,CA-90,-17755.0
"EXL SAFE COMPANY, LLC",,2008,CA-90,0.0
SYSTEMS ENGINEERING & MANAGEMENT COMPANY,,2008,CA-49,1500.0
MIDAC CORP,ORANGE,2008,CA-47,303900.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,-20.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,0.0
"MESA ENERGY SYSTEMS, INC",,2008,CA-47,0.0
"NU-TREK, INC.",SAN DIEGO,2008,CA-50,1249972.0
"LEIDOS, INC.",,2008,CA-90,310913.0
"PC SPECIALISTS, INC.",LOS ANGELES,2008,CA-90,461113.0
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",SAN BERNARDINO,2008,CA-23,26156.0
EXEMPLIS LLC,ORANGE,2008,CA-45,6001.56
LN CURTIS & SONS,ALAMEDA,2008,CA-12,18850.0
NEUGENESIS CORP,,2008,CA-90,0.0
PARSONS GOVERNMENT SERVICES INC,,2008,CA-40,469780.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,119920.49
OPTO-KNOWLEDGE SYSTEMS INC,,2008,CA-90,-540000.0
PARSONS GOVERNMENT SERVICES INC,,2008,CA-40,207148.0
"DEFENSEWEB TECHNOLOGIES, INC.",,2008,CA-90,0.0
LN CURTIS & SONS,,2008,CA-12,23520.0
ASTROPHYSICS INC,,2008,CA-38,25865.0
PRIDE INDUSTRIES,,2008,CA-03,-0.01
SPERRY WEST INC,,2008,CA-90,12576.0
WING INFLATABLES INC,HUMBOLDT,2008,CA-02,12477.0
FURNITURE BY THURSTON,NEVADA,2008,CA-03,0.0
"MODERN DATA PRODUCTS, INC.",LOS ANGELES,2008,CA-37,3045.25
"CHARON TECHNOLOGIES, LLC",VENTURA,2008,CA-26,260697.0
ALAMEDA APPLIED SCIENCES CORPORATION,ALAMEDA,2008,CA-12,99995.0
HK AEROSPACE KIRKHILL AIRCRAFT PARTS COMPANY,LOS ANGELES,2008,CA-30,39.0
CAMAR AIRCRAFT PARTS CO.,VENTURA,2008,CA-26,2075.0
UNIVERSITY OF SOUTHERN CALIFORNIA,,2008,CA-90,0.0
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,2008,CA-17,32390.44
"ASA COMPUTERS, INC.",,2008,CA-16,9000.0
"LEIDOS, INC.",SAN DIEGO,2008,CA-50,0.0
"LEIDOS, INC.",,2008,CA-90,310342.0
PACIFIC POWER SOURCE INC,ORANGE,2008,CA-47,8043.68
DIVINE IMAGING INC.,LOS ANGELES,2008,CA-36,3514.0
"ARCTIQ US, INC.",ORANGE,2008,CA-47,5479.0
