recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"BECTON, DICKINSON AND COMPANY",SANTA CLARA,2018,CA-17,32094.96
ALLCOMP INC.,LOS ANGELES,2018,CA-31,0.0
OUTSOURCE LTD,LOS ANGELES,2018,CA-27,0.0
"SOUTHERN CALIFORNIA BRAIDING, INC.",LOS ANGELES,2018,CA-42,0.0
"REAGENT WORLD, INC.",SAN BERNARDINO,2018,CA-35,0.0
MCMASTER-CARR SUPPLY CO,LOS ANGELES,2018,CA-38,3995.6
OUTSOURCE LTD,LOS ANGELES,2018,CA-27,16259.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2018,CA-48,0.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2018,CA-48,-661728.4
VACCO INDUSTRIES,LOS ANGELES,2018,CA-31,0.0
"PALOMAR PRODUCTS, INC.",ORANGE,2018,CA-40,0.0
DIAGNOSTIC SOLUTIONS INTERNATIONAL LLC,SAN BERNARDINO,2018,CA-35,139880.0
B & H INTERNATIONAL LLC,KERN,2018,CA-20,0.0
"LINMARR ASSOCIATES, INC.",ORANGE,2018,CA-47,57374.3
VIZOCOM ICT LLC,SAN DIEGO,2018,CA-51,5590.2
"FIRST VANGUARD RENTALS & SALES, INC.",SOLANO,2018,CA-08,90197.1
"PACIFIC SKY SUPPLY, INC.",LOS ANGELES,2018,CA-29,179840.0
"AECOM TECHNICAL SERVICES, INC.",SACRAMENTO,2018,CA-07,0.0
"EUROFINS ADVANTAR LABORATORIES, INC.",SAN DIEGO,2018,CA-51,70000.0
B & H INTERNATIONAL LLC,KERN,2018,CA-20,9317.35
"MATTHEW WARREN, INC.",LOS ANGELES,2018,CA-42,135.11
TOYON RESEARCH CORPORATION,SANTA BARBARA,2018,CA-24,0.0
"RAYE LTD., INC",VENTURA,2018,CA-26,7500.0
"SHAH, RUPAL",LOS ANGELES,2018,CA-31,5610.0
"REAGENT WORLD, INC.",SAN BERNARDINO,2018,CA-35,-86215.0
"FAR WESTERN ANTHROPOLOGICAL RESEARCH GROUP, INC.",YOLO,2018,CA-04,80000.0
"L-3 COMMUNICATIONS SONOMA EO, INC.",SONOMA,2018,CA-02,281554.88
"SAJJAD, ZAINAB S.",ORANGE,2018,CA-45,546.15
LIFE TECHNOLOGIES CORPORATION,SAN DIEGO,2018,CA-49,27678.41
ROSELIN CHARITAR,MERCED,2018,CA-13,423220.02
QUICK RESPONSE SEWER & DRAIN,NEVADA,2018,CA-03,17238.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2018,CA-48,0.0
FEDERAL SOLUTIONS GROUP,CONTRA COSTA,2018,CA-10,0.0
"CITRUS NORTH VENTURE, LLC",VENTURA,2018,CA-26,7069.88
AB SCIEX LLC,SAN MATEO,2018,CA-15,226700.3
IRVINE SENSORS CORPORATION,ORANGE,2018,CA-47,909905.0
"ADVANCED LIFE TECHNOLOGIES, LLC",SANTA BARBARA,2018,CA-24,999812.85
B & H INTERNATIONAL LLC,KERN,2018,CA-20,11991.26
"REAGENT WORLD, INC.",SAN BERNARDINO,2018,CA-35,81883.97
"NEW TECH SOLUTIONS, INC.",ALAMEDA,2018,CA-17,9113.18
ADVANCED DIGITAL SOLUTIONS INTERNATIONAL,ALAMEDA,2018,CA-17,44686.55
HAWTHORNE MACHINERY CO.,SAN DIEGO,2018,CA-50,16000.0
"TEHAMA COUNTY OPPORTUNITY CENTER, INC.",TEHAMA,2018,CA-01,70285.79
TOYON RESEARCH CORPORATION,SANTA BARBARA,2018,CA-24,700000.0
ANZA BORREGO TENNIS CENTER,SAN DIEGO,2018,CA-48,-12400.0
"ANDERSON BURTON CONSTRUCTION, INC.",SAN LUIS OBISPO,2018,CA-24,0.0
"EXEMPLAR ENTERPRISES, INC",VENTURA,2018,CA-26,0.0
ADMIRALS EXPERIENCE INC,SAN DIEGO,2018,CA-51,36005.16
"ENGINEERING AND SOFTWARE SYSTEM SOLUTIONS, INC.",SAN DIEGO,2018,CA-50,489521.89
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2018,CA-15,39769.59
SH MECHANICAL INC.,SOLANO,2018,CA-08,18335.71
NEWPOINT MANAGEMENT LLC,LOS ANGELES,2018,CA-31,9960.0
LOCKHEED MARTIN CORP,SANTA CLARA,2018,CA-17,0.0
XNS INC.,SAN LUIS OBISPO,2018,CA-24,96695.26
"E. M. OIL TRANSPORT, INC.",LOS ANGELES,2018,CA-38,0.0
"TELEDYNE, INC",SAN DIEGO,2018,CA-50,0.0
"TELEDYNE ETM, INC.",ALAMEDA,2018,CA-17,3000.0
"ILLUMINA, INC.",SAN DIEGO,2018,CA-50,18696.6
AMRON INTERNATIONAL INC,SAN DIEGO,2018,CA-49,21165.0
J DAVIS CONSTRUCTION MANAGEMENT INC,VENTURA,2018,CA-24,47424.46
"J. E. MCAMIS, INC",BUTTE,2018,CA-01,828545.65
9W HALO WESTERN OPCO L.P.,SACRAMENTO,2018,CA-07,0.0
"ADVANCED OFFICE SYSTEMS, INC",CONTRA COSTA,2018,CA-10,3750.0
B & H INTERNATIONAL LLC,KERN,2018,CA-20,145680.12
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2018,CA-47,157389.18
UNITED PARADYNE CORP,SANTA BARBARA,2018,CA-24,-14850.0
"OMNICELL, INC.",SANTA CLARA,2018,CA-16,98893.03
"BECKMAN COULTER, INC",ORANGE,2018,CA-40,0.0
"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",SAN BERNARDINO,2018,CA-35,24999.0
"BRANDT GROUP, INC.",ORANGE,2018,CA-47,43400.0
WESTERN OFFICE INTERIORS,LOS ANGELES,2018,CA-42,42200.02
"OMNICELL, INC.",SANTA CLARA,2018,CA-16,0.0
"REAGENT WORLD, INC.",SAN BERNARDINO,2018,CA-35,-18642.96
KATHLEEN M. GRIEGO,YUBA,2018,CA-01,8760.0
GRANITE CONSTRUCTION COMPANY,SANTA CRUZ,2018,CA-18,0.0
B & H INTERNATIONAL LLC,KERN,2018,CA-20,0.0
LEARN ASSOC INC,SACRAMENTO,2018,CA-06,89586.0
WESTLAKE PRO INC.,LOS ANGELES,2018,CA-32,22315.98
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2018,CA-47,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",SAN DIEGO,2018,CA-51,175452.0
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2018,CA-47,21340.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2018,CA-15,11607.24
"NATEL ENGINEERING COMPANY, LLC",LOS ANGELES,2018,CA-32,0.0
CADENCE DESIGN SYSTEMS INC,SANTA CLARA,2018,CA-17,4500.0
WORKRITE ERGONOMICS LLC,SONOMA,2018,CA-02,11233.6
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2018,CA-47,4300.0
ROCKWELL COLLINS INC,SOLANO,2018,CA-08,110776.64
THE AEROSPACE CORPORATION,LOS ANGELES,2018,CA-36,67739329.88
THE BOEING COMPANY,ORANGE,2018,CA-47,0.0
"REPAIRTECH INTERNATIONAL, INC",LOS ANGELES,2018,CA-29,0.0
LOCKHEED MARTIN CORP,SANTA CLARA,2018,CA-17,0.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2018,CA-48,7313573.88
"BOEING SATELLITE SYSTEMS, INC.",LOS ANGELES,2018,CA-36,0.0
DYNAMIC SYSTEMS INC,LOS ANGELES,2018,CA-36,11000.0
