recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"AQUALUNG USA, INC",SAN DIEGO,2020,CA-49,209335.86
W.R.A.I. INC,SAN DIEGO,2020,CA-49,0.0
"DYNAMIK, INC.",SAN DIEGO,2020,CA-50,180250.0
"HIPP MARINE SERVICES, INC",SAN DIEGO,2020,CA-51,9834.24
B & H INTERNATIONAL LLC,KERN,2020,CA-20,36703.5
B & H INTERNATIONAL LLC,KERN,2020,CA-20,-9805.04
"MARVIN LAND SYSTEMS, INC.",LOS ANGELES,2020,CA-43,0.0
TAVIS CORP,MARIPOSA,2020,CA-05,123920.0
"FISICA APPLIED TECHNOLOGIES, INC.",VENTURA,2020,CA-26,101134.0
"UNITEC SYSTEMS, INC",ORANGE,2020,CA-40,0.0
"ILLUMINA, INC.",SAN DIEGO,2020,CA-50,0.0
EURAMCO SAFETY INC,SAN DIEGO,2020,CA-51,0.0
SAITECH INC,ALAMEDA,2020,CA-17,0.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2020,CA-15,39520.24
OPTO-KNOWLEDGE SYSTEMS INC,LOS ANGELES,2020,CA-44,0.0
"ODIN ENVIRONMENTAL SOLUTIONS, LLC",PLACER,2020,CA-03,150000.0
"BIO-RAD LABORATORIES, INC.",CONTRA COSTA,2020,CA-08,-341.0
LINQUEST CORPORATION,LOS ANGELES,2020,CA-37,0.0
"KRATOS UNMANNED AERIAL SYSTEMS, INC",SACRAMENTO,2020,CA-06,0.0
"CUBIC DEFENSE APPLICATIONS, INC.",SAN DIEGO,2020,CA-51,0.0
LIFE TECHNOLOGIES CORPORATION,SAN DIEGO,2020,CA-49,12926.0
"SYNVITROBIO, INC.",SAN FRANCISCO,2020,CA-11,0.0
ALCATERA INC,LOS ANGELES,2020,CA-32,0.0
"ALOHA CONSTRUCTION SERVICES, INC.",RIVERSIDE,2020,CA-48,0.0
"SPACE AGE ENGINEERING, INC",LOS ANGELES,2020,CA-32,0.0
DATA PHYSICS CORPORATION,SANTA CLARA,2020,CA-17,6917.5
RAYTHEON COMPANY,LOS ANGELES,2020,CA-36,1487109.14
"TRIDANT SOLUTIONS, INC.",LOS ANGELES,2020,CA-28,55659.75
SEAN TRUCK AND REEFER RENTAL INC.,SAN BERNARDINO,2020,CA-23,-459.59
"THE DORE GROUP, INC",SAN DIEGO,2020,CA-50,0.0
THOMAS CHAPMAN,SAN DIEGO,2020,CA-50,24260.9
AMERICAN CLASSIC CONSTRUCTION INC.,LOS ANGELES,2020,CA-32,15450.0
DOUBLE R NEST EGG INC,NEVADA,2020,CA-03,47552.47
DYNAMIC SYSTEMS INC,LOS ANGELES,2020,CA-36,5022.8
OPTO-KNOWLEDGE SYSTEMS INC,LOS ANGELES,2020,CA-44,499966.37
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2020,CA-48,0.0
PRIDE INDUSTRIES,PLACER,2020,CA-03,-62814.04
RELMEX INC,SAN BERNARDINO,2020,CA-35,0.0
SRI INTERNATIONAL,SAN MATEO,2020,CA-16,915891.0
MACRO-Z-TECHNOLOGY COMPANY,ORANGE,2020,CA-46,78864.99
CURTIN MARITIME CORP,LOS ANGELES,2020,CA-42,-431458.5
AMERICAN CLASSIC CONSTRUCTION INC.,LOS ANGELES,2020,CA-32,14307.01
"SUPER MICRO COMPUTER, INC.",SANTA CLARA,2020,CA-17,0.0
CHICAGO TITLE COMPANY,RIVERSIDE,2020,CA-39,37234.0
"ODIN ENVIRONMENTAL SOLUTIONS, LLC",PLACER,2020,CA-03,52490.37
LOCKHEED MARTIN CORP,SANTA CLARA,2020,CA-17,-200000.0
"NOVA GROUP, INC.",NAPA,2020,CA-04,79000.0
"S. J. AMOROSO CONSTRUCTION CO., LLC",SAN MATEO,2020,CA-15,10194.0
"ODIN ENVIRONMENTAL SOLUTIONS, LLC",PLACER,2020,CA-03,58222.0
PATRIOT CONSTRUCTION INC,SAN JOAQUIN,2020,CA-09,0.0
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",ALAMEDA,2020,CA-12,262447.0
"CM CONSTRUCTION SERVICES, INC.",TULARE,2020,CA-21,0.0
"SHIMMICK CONSTRUCTION COMPANY, INC.",ALAMEDA,2020,CA-12,12500.0
"PUBLIC HEALTH, CALIFORNIA DEPARTMENT OF",SACRAMENTO,2020,CA-07,0.0
"VARIAN MEDICAL SYSTEMS, INC",SANTA CLARA,2020,CA-16,547152.0
MISSION LINEN SUPPLY,SAN LUIS OBISPO,2020,CA-24,12606.88
"PREMIER PARTY RENTALS, INC.",LOS ANGELES,2020,CA-43,665.02
NEWPOINT MANAGEMENT LLC,LOS ANGELES,2020,CA-31,0.0
INDEN SOLUTIONS GROUP INC,SOLANO,2020,CA-08,162368.0
VTC ENTERPRISES,SANTA BARBARA,2020,CA-24,74800.0
"FOUR TRIBES CONSTRUCTION SERVICES, LLC",LOS ANGELES,2020,CA-36,0.0
CAL INC.,SOLANO,2020,CA-04,48985.67
RRDS INC,ORANGE,2020,CA-47,0.0
"BECKMAN COULTER, INC",ORANGE,2020,CA-40,66268.46
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2020,CA-47,0.0
WILLIAMS AEROSPACE & MANUFACTURING INC,VENTURA,2020,CA-26,80908.56
"CM CONSTRUCTION SERVICES, INC.",TULARE,2020,CA-21,0.0
"SFM CONSTRUCTORS, INC.",RIVERSIDE,2020,CA-48,0.0
NEWPOINT MANAGEMENT LLC,LOS ANGELES,2020,CA-31,0.0
"ASC PROCESS SYSTEMS, INC.",LOS ANGELES,2020,CA-27,2922910.0
"OMNICELL, INC.",SANTA CLARA,2020,CA-16,29119.68
DEEPBITS TECHNOLOGY INC.,RIVERSIDE,2020,CA-39,49968.0
"ETRAC, A WOOLPERT COMPANY",MARIN,2020,CA-02,0.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2020,CA-48,6718096.0
"TAPESTRY SOLUTIONS, INC.",SAN DIEGO,2020,CA-51,0.0
"JILK HEAVY CONSTRUCTION, INC.",LOS ANGELES,2020,CA-43,65678.53
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,50.7
RAL INVESTMENT CORPORATION,SAN DIEGO,2020,CA-51,48610.0
BOSS INNOVATION & MARKETING INC,ORANGE,2020,CA-40,48928.8
MMB AJV,SACRAMENTO,2020,CA-06,354832.0
RUSS BASSETT CORP,LOS ANGELES,2020,CA-38,160813.0
"NOVA GROUP, INC.",NAPA,2020,CA-04,840000.0
EATON CORPORATION,ORANGE,2020,CA-47,0.0
"GALAXIE MANAGEMENT, INC.",SAN DIEGO,2020,CA-51,338.96
WILLIAMS AEROSPACE & MANUFACTURING INC,VENTURA,2020,CA-26,0.0
XCHANGER MANUFACTURING CORPORATION,ALAMEDA,2020,CA-14,99900.0
PREMISE DATA CORPORATION,SAN FRANCISCO,2020,CA-11,979538.82
"MICROWAVE POWER PRODUCTS, INC.",SANTA CLARA,2020,CA-16,0.0
"KARAGOZIAN & CASE, INC.",LOS ANGELES,2020,CA-30,199939.0
MCP COMPUTER PRODUCTS INC,SAN DIEGO,2020,CA-50,67639.5
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,275.2
LOCKHEED MARTIN CORP,SANTA CLARA,2020,CA-17,12000000.0
LOCKHEED MARTIN CORP,SANTA CLARA,2020,CA-17,0.0
"PCMG, INC.",LOS ANGELES,2020,CA-36,49393.24
AHTNA-CDM SMITH JV,ORANGE,2020,CA-47,0.0
LIBERTY TEST EQUIPMENT INC,PLACER,2020,CA-03,24660.0
OAKLAND CONSULTING GROUP INC,ALAMEDA,2020,CA-12,3358479.32
"CITRUSBYTE, LLC",LOS ANGELES,2020,CA-32,49971.0
LINQUEST CORPORATION,LOS ANGELES,2020,CA-37,1960368.0
M&A GLOBAL CARTRIDGES LLC,LOS ANGELES,2020,CA-34,91.23
THE AEROSPACE CORPORATION,LOS ANGELES,2020,CA-36,58868377.28
"AMETEK PROGRAMMABLE POWER, INC.",SAN DIEGO,2020,CA-51,0.0
DIVINE IMAGING INC.,LOS ANGELES,2020,CA-36,1001.2
EXERCET COMMUNICATIONS INC,SANTA CLARA,2020,CA-17,0.0
OPEN TEXT INC.,SAN MATEO,2020,CA-15,17240.71
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,57.16
QUINN COMPANY,KERN,2020,CA-20,0.0
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,171.48
"GALAXIE MANAGEMENT, INC.",SAN DIEGO,2020,CA-51,7268.8
PREMIER BUSINESS PRODUCTS INC.,LOS ANGELES,2020,CA-31,379.44
BKM OFFICEWORKS LLC,SAN DIEGO,2020,CA-50,4200504.6
VIASAT INC,SAN DIEGO,2020,CA-49,-168877.29
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",SAN BERNARDINO,2020,CA-23,0.0
"BECKMAN COULTER, INC",ORANGE,2020,CA-40,0.0
"BECKMAN COULTER, INC",ORANGE,2020,CA-40,0.0
"GALAXIE MANAGEMENT, INC.",SAN DIEGO,2020,CA-51,86.9
"MILLI MICRO SYSTEMS, INC.",LOS ANGELES,2020,CA-32,6580.42
HARMONIX SYSTEMS INC.,SAN DIEGO,2020,CA-49,79500.0
"TELEDYNE SCIENTIFIC & IMAGING, LLC",VENTURA,2020,CA-26,600000.0
TRELLISWARE TECHNOLOGIES INC,SAN DIEGO,2020,CA-50,271788.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2020,CA-15,28315.2
DIVINE IMAGING INC.,LOS ANGELES,2020,CA-36,24924.84
"PCMG, INC.",LOS ANGELES,2020,CA-36,71790.3
RAYTHEON COMPANY,LOS ANGELES,2020,CA-36,0.0
"DATA AIRE, INC.",ORANGE,2020,CA-46,0.0
"LEIDOS, INC.",SAN DIEGO,2020,CA-50,0.0
"T3W BUSINESS SOLUTIONS, INC.",SAN DIEGO,2020,CA-50,313435.92
BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,SAN DIEGO,2020,CA-50,17712.09
"NEW TECH SOLUTIONS, INC.",ALAMEDA,2020,CA-17,262156.48
NORTHROP GRUMMAN SYSTEMS CORP,LOS ANGELES,2020,CA-36,0.0
PACIFIC POWER SOURCE INC,ORANGE,2020,CA-47,14170.0
MELTWATER NEWS US INC,SAN FRANCISCO,2020,CA-11,19500.0
"AUCTANE, INC.",LOS ANGELES,2020,CA-36,9694.3
M&A GLOBAL CARTRIDGES LLC,LOS ANGELES,2020,CA-34,59.4
"GOLDSTONE, STEVE",SAN DIEGO,2020,CA-50,18040.0
"FNH, INC",ALAMEDA,2020,CA-17,14805.64
PALANTIR TECHNOLOGIES INC.,SANTA CLARA,2020,CA-16,885.84
"NEW CENTURY IMAGING, INC.",SANTA BARBARA,2020,CA-24,16993.36
SKYDIVE ELSINORE INC,RIVERSIDE,2020,CA-41,0.0
PARSONS GOVERNMENT SERVICES INC,ORANGE,2020,CA-40,0.0
"HEALTH NET FEDERAL SERVICES, LLC",SACRAMENTO,2020,CA-03,0.0
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,211.22
"MBA OFFICE SUPPLY, INC.",SANTA CLARA,2020,CA-17,309.36
"CRAIG S CRANE & SERVICES, INC.",IMPERIAL,2020,CA-25,5700.0
PARSONS GOVERNMENT SERVICES INC.,LOS ANGELES,2020,CA-28,11477631.0
"AEROVIRONMENT, INC.",LOS ANGELES,2020,CA-31,870851.0
"TACTICAL GLOBAL SOLUTIONS, CORP",RIVERSIDE,2020,CA-41,13700.0
"AUCTANE, INC.",LOS ANGELES,2020,CA-36,24584.46
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2020,CA-15,197955.53
BREWER CRANE LLC,SAN DIEGO,2020,CA-48,0.0
"TEAL, LLC",MERCED,2020,CA-13,40351.86
BLUE PETER LLC,SAN DIEGO,2020,CA-48,2619.48
INNOSENSE CORPORATION,LOS ANGELES,2020,CA-36,0.0
"AVUM, INC.",LOS ANGELES,2020,CA-26,19308.0
H. CO. COMPUTER PRODUCTS,ORANGE,2020,CA-47,270374.0
BRUDVIK INC,RIVERSIDE,2020,CA-41,1325.0
"INFINITE TECHNOLOGIES, INC.",EL DORADO,2020,CA-05,1666552.0
KESTREL INSTITUTE,SANTA CLARA,2020,CA-16,0.0
OWL INTERNATIONAL INC.,ORANGE,2020,CA-47,392000.0
LUMENIS INC.,SANTA CLARA,2020,CA-17,14658.19
NORTHROP GRUMMAN SYSTEMS CORPORATION,SAN DIEGO,2020,CA-50,0.0
METROPOLITAN VAN AND STORAGE INC.,SOLANO,2020,CA-08,0.0
HII SAN DIEGO SHIPYARD INC.,SAN DIEGO,2020,CA-52,-49152.0
SEWELL JACK,ORANGE,2020,CA-40,36000.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2020,CA-52,-2578394.0
VIASAT INC,SAN DIEGO,2020,CA-49,0.0
RAPISCAN SYSTEMS INC,LOS ANGELES,2020,CA-43,59286.96
RAYTHEON COMPANY,SAN DIEGO,2020,CA-51,0.0
ROCKWELL COLLINS INC,SOLANO,2020,CA-08,0.0
"L3HARRIS TECHNOLOGIES, INC",LOS ANGELES,2020,CA-29,0.0
"TECOLOTE RESEARCH, INC.",SANTA BARBARA,2020,CA-24,0.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2020,CA-52,-17823.0
