recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2014,CA-48,0.0
"ATA ENGINEERING, INC.",SAN DIEGO,2014,CA-50,499829.0
THE RAND CORPORATION,,2014,CA-36,9937840.0
JOHN KARDOS,SAN DIEGO,2014,CA-50,4350.0
"MAXIM INTEGRATED PRODUCTS, INC.",SANTA CLARA,2014,CA-17,25712.65
"FEDERAL DEFENSE INDUSTRIES, INC",,2014,CA-26,-1000.0
"EATON LEONARD TOOLING, INC.",,2014,CA-49,0.0
MICROSEMI SOC CORP.,,2014,CA-90,0.0
AIRBORNE SYSTEMS NORTH AMERICA OF CA INC,,2014,CA-46,0.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2014,CA-48,77204907.0
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2014,CA-48,3083462.67
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",,2014,CA-48,0.0
CHARLES H BRENNER,,2014,CA-12,10000.0
SALIENT FEDERAL-SGIS INC,,2014,CA-90,-116835.0
"CRYOMETRIX, INC.",,2014,CA-90,-29315.0
"BRANDT GROUP, INC.",,2014,CA-47,3000.0
"INNOVATIVE FEDERAL OPERATIONS GROUP, INCORPORATED",,2014,CA-49,4282.8
NORTHWEST HYDRAULIC CONSULTANTS INC,YOLO,2014,CA-07,0.0
PHYSICAL OPTICS CORPORATION,,2014,CA-90,0.0
ULTRAMET,,2014,CA-29,0.0
SIERRA HYDROGRAPHICS,FRESNO,2014,CA-05,6480.0
GHD INC.,,2014,CA-47,44908.33
AMADA WELD TECH INC,LOS ANGELES,2014,CA-31,33740.0
EVERYTHING WIRELESS LLC,LOS ANGELES,2014,CA-32,6540.5
LINDSAY ENGINEERING,VENTURA,2014,CA-26,23410.5
"APTUS ENDOSYSTEMS, INC.",SANTA CLARA,2014,CA-17,6511.0
"TARGETSOLUTIONS, INC.",SAN DIEGO,2014,CA-50,10695.0
JOHN ERIC HORTON,FRESNO,2014,CA-20,6550.0
NUGATE GROUP LLC,,2014,CA-90,0.0
ATWOOD HAY INCORPORATED,PLACER,2014,CA-03,4728518.0
"MASCON, INC.",,2014,CA-90,253188.0
"EXCLUSIVE TENT RENTALS, INC",,2014,CA-90,-4520.27
"SPACE AGE ENGINEERING, INC",,2014,CA-26,0.0
ROCKWELL INTERNATIONAL CORP,,2014,CA-42,-529129.69
NORTHROP GRUMMAN SYSTEMS CORPORATION,LOS ANGELES,2014,CA-36,13589367.0
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2014,CA-15,15293.72
"EFFICIENT COMPUTING, INC.",,2014,CA-01,27000.0
"RQ CONSTRUCTION, LLC",SAN DIEGO,2014,CA-49,10000.0
PARSONS GOVERNMENT SERVICES INC.,,2014,CA-28,0.0
GILBANE FEDERAL,CONTRA COSTA,2014,CA-10,0.0
PRIDE INDUSTRIES,,2014,CA-03,129149.86
DAVIS ULTRASERV INC,,2014,CA-09,5904.0
"CUTTING EDGE CONCRETE SERVICES, INC.",,2014,CA-23,5555.0
CHEVRON U.S.A. INC.,SAN FRANCISCO,2014,CA-11,0.0
"CHESAPEAKE TECHNOLOGY, INC",SANTA CLARA,2014,CA-16,0.0
LYNNLUX LOGISTICS LLC,YOLO,2014,CA-07,27239.21
"EVAN MONEY, INC.",LOS ANGELES,2014,CA-36,4649.0
"ALLIANCE HEALTHCARE SERVICES, INC.",,2014,CA-47,64382.0
"AFFYMETRIX, INC.",,2014,CA-17,-3504.68
"ANGELICA TEXTILE SERVICES, INC.",,2014,CA-90,0.0
PMK RESCUE SOLUTIONS L.L.C.,YOLO,2014,CA-04,7872.45
"COMPUTERS AND STRUCTURES, INC.",CONTRA COSTA,2014,CA-10,0.0
GENTEX CORP,,2014,CA-90,0.0
"NOVARTIS VACCINES AND DIAGNOSTICS, INC.",ALAMEDA,2014,CA-12,0.0
BLACK GOLD INDUSTRIES,,2014,CA-26,29575.0
"DOUBLE BUCK INVESTMENTS, INC.",,2014,CA-90,38589.0
NEWPOINT MANAGEMENT LLC,LOS ANGELES,2014,CA-31,-4085.2
NEWPOINT MANAGEMENT LLC,,2014,CA-90,2658.56
VIASAT INC,SAN DIEGO,2014,CA-49,118652.0
SPECIAL TACTICS SOLUTIONS INC,CONTRA COSTA,2014,CA-10,126000.0
HAGERTY MICHAEL,,2014,CA-19,0.0
AC3,,2014,CA-12,0.0
"ALBRIGHT ELECTRIC, INC.",FRESNO,2014,CA-21,20498.0
REACH TECHNOLOGY INC.,ALAMEDA,2014,CA-17,25279.25
GRISWOLD INDUSTRIES,ORANGE,2014,CA-47,11130.0
"ALACRINET CONSULTING SERVICES, INC",SAN MATEO,2014,CA-15,97478.09
"TECHNICAL COMMUNITIES, INC.",SAN MATEO,2014,CA-15,37755.2
"MURREY INTERNATIONAL, INC.",LOS ANGELES,2014,CA-43,19498.8
PARSONS GOVERNMENT SERVICES INC.,LOS ANGELES,2014,CA-28,0.0
TELEDYNE RESON INC,SANTA BARBARA,2014,CA-24,63874.0
"JOB OPTIONS, INCORPORATED",SAN DIEGO,2014,CA-51,-72203.57
THE RAND CORPORATION,,2014,CA-36,-1540000.0
"AGILENT TECHNOLOGIES, INC.",,2014,CA-17,-0.04
THE BOEING COMPANY,ORANGE,2014,CA-47,0.0
"VIP RUBBER COMPANY, INC.",ORANGE,2014,CA-38,510.0
EATON CORPORATION,ORANGE,2014,CA-47,79800.0
RAYTHEON COMPANY,LOS ANGELES,2014,CA-36,0.0
"FISICA APPLIED TECHNOLOGIES, INC.",,2014,CA-90,0.0
"CV INTERNATIONAL, INC.",,2014,CA-90,96426.36
"CLASSIC PARTY RENTALS, INC.",LOS ANGELES,2014,CA-36,172.23
SPIRA MANUFACTURING CORPORATION,LOS ANGELES,2014,CA-29,257.5
"QUALITY AVIATION, INC",SAN BERNARDINO,2014,CA-35,195.0
ENDOLOGIX LLC,,2014,CA-47,-840.0
"APTUS ENDOSYSTEMS, INC.",SANTA CLARA,2014,CA-17,0.0
"RAPISCAN LABORATORIES, INC.",,2014,CA-17,20000.0
DATA PHYSICS CORPORATION,SANTA CLARA,2014,CA-17,79150.0
LOCKHEED MARTIN CORPORATION,,2014,CA-27,-51717.65
"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",SAN DIEGO,2014,CA-48,63994656.2
"GLENAIR, INC.",LOS ANGELES,2014,CA-30,533.31
PACIFIC ELECTRONIC ENTERPRISES INC,ORANGE,2014,CA-47,6900.0
RAYTHEON COMMAND & CONTROL SOLUTIONS LLC,ORANGE,2014,CA-22,0.0
"CAREFUSION SOLUTIONS, LLC",SAN DIEGO,2014,CA-50,0.0
"SUNDAES NOVELTY, INC.",SAN DIEGO,2014,CA-49,5395.92
"WASK ENGINEERING, INC",,2014,CA-05,10626.0
"PACIFIC SCIENCE & ENGINEERING GROUP, INC.",SAN DIEGO,2014,CA-51,0.0
"BECKMAN COULTER, INC.",ORANGE,2014,CA-40,28261.71
"BECKMAN COULTER, INC.",ORANGE,2014,CA-90,-5305.0
